
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198005   6.54   4.62   7.74   5.46   8.33   5.85   8.11   5.43   7.40   2.74
198006   1.99   1.31   0.33   2.46   0.91   2.79   1.68   1.51   1.33   0.49
198007  -4.09  -3.33  -4.54  -2.64  -6.54  -4.43  -5.89  -0.85  -5.56  -6.64
198008   2.70   4.68   1.58   4.74  -0.82   1.58   0.02   3.53   1.41   0.61
198009   0.01  -4.16   2.19  -2.80   2.40  -4.57   2.77  -1.31   1.39  -1.09
198010   4.56  -1.51   9.89  -3.11  10.92  -4.90  10.66  -0.54   8.95  -2.67
198011  -3.45  -4.45  -4.06  -1.45  -3.74   0.78  -3.96  -4.01  -4.10  -6.85
198012  -7.26  -5.50  -9.06  -4.87  -9.39  -6.13  -9.66  -4.24  -9.78  -3.47
198101 -11.70 -13.51 -11.16 -13.71 -11.90 -15.65 -11.54 -12.40 -12.22 -10.60
198102   1.60   3.59   0.86   0.64   1.71   6.53   2.65   4.41  -0.12   6.17
198103   4.20   7.24   0.98   7.63   2.59   5.46   2.61   6.06   2.53   4.43
198104 -10.11  -9.65  -6.79 -13.11  -8.96  -9.40  -8.08  -9.28 -11.03 -11.01
198105 -23.80 -24.97 -23.06 -27.50 -17.97 -26.25 -18.74 -24.61 -27.45 -23.87
198106  -7.68  -6.78  -7.12  -9.90  -5.56 -10.97  -4.41  -7.72 -10.34 -14.60
198107   8.28   3.57   9.59  10.99   7.95   4.58   8.00  -2.67  16.46  13.32
198108   5.55   7.16   5.38   4.63   4.16   8.19   4.73   8.72   3.23   0.32
198109   4.21   9.25   6.48   0.01   2.65   6.87   3.97  10.03   1.31  12.57
198110  -3.62   1.11  -7.63   2.19  -7.27   2.77  -6.96   1.66  -5.79  -6.80
198111   7.70   8.92   6.03  10.23   7.48  10.94   8.01   9.69   7.39  10.60
198112  -3.77  -4.25  -5.60  -3.48  -5.03  -4.09  -5.44  -1.53  -3.99  -0.04
198201   5.80   8.11   4.92   6.40   5.11   8.85   5.04   5.02   5.50  12.13
198202   4.20   9.50   0.38   6.46  -0.43   8.77  -0.34  15.09  -0.51   3.64
198203 -10.20  -9.64  -6.38 -19.09  -8.12 -11.12  -6.42  -9.86  -7.93  -4.35
198204   9.49  10.66   7.26  15.08  10.37  12.78   7.87   8.97   8.27  12.91
198205  -1.54  -1.24   0.76  -9.13  -0.60  -1.25   0.58   0.50   0.73   4.28
198206 -16.89 -15.79 -17.32 -13.72 -16.50 -19.06 -17.70 -14.17 -17.03 -21.39
198207  -4.08 -11.77  -0.51  -9.17  -3.78 -12.23  -0.76 -11.42  -1.61  -1.46
198208   3.09   5.20   2.06   5.49   3.77   7.93   2.25   5.07   3.88  -1.12
198209  -4.81  -8.27  -4.18  -5.65  -5.99  -6.56  -4.45  -3.57  -5.83  -3.08
198210   1.24   3.98  -1.84   7.56   1.16   5.49  -2.06   4.06  -0.64  -8.03
198211   4.94   7.82   3.89   1.82   5.69   7.89   3.49   8.90   3.70   3.77
198212   3.42   4.15   0.63   8.57   0.76   2.96   0.53   6.09   0.65   6.36
198301   3.47  11.54   0.31   6.98   1.74  11.29   1.25   6.85   1.93   9.83
198302   3.97   2.78   3.60   1.75   4.76   1.58   4.13   1.33   5.20   9.29
198303   2.68   3.85   2.86   2.51   1.95   4.29   4.16   3.44   4.67   4.94
198304   3.91   6.22   3.41   9.93   2.10   6.73   3.90   7.20   3.75  -4.38
198305   2.25   4.04   0.72   1.73   3.74   3.50   2.04   5.91   1.99  -3.02
198306  -2.24  -1.34  -3.35  -2.45  -3.06  -1.33  -4.32  -2.40  -3.71  -5.60
198307  -0.45  -3.25   0.43  -0.22  -2.17  -4.39   0.26  -2.33   0.33  -3.67
198308   3.98  11.75   2.45  10.35  -0.33  12.08   0.66   9.95   0.79   7.58
198309   4.67  -1.28   5.25   2.44   7.62  -2.19   6.19  -1.41   8.45   8.75
198310   0.21  -2.12  -0.49  -1.50   1.64  -4.22   0.39  -2.04   0.68  -5.01
198311   2.96   2.41  -0.66   3.21   0.98   0.60   1.10   0.86   4.29   3.51
198312   2.63   2.63   1.91   3.29   1.36  -0.82   1.45   2.57   2.35   0.81
198401   6.14  18.31   3.34  14.35   1.80  16.12   0.86  14.22  -1.16  14.98
198402   2.05   7.32   1.24   7.83   0.30   8.99   1.27   6.49   1.96  -0.41
198403   2.26   3.24   2.51   3.08   1.83   3.41   3.35   2.37   3.21   0.71
198404   5.46   6.31   4.86   8.24   7.22   8.33   6.24   5.49   6.38   0.44
198405  -3.13   2.57  -6.18  -2.00  -7.31   3.33  -5.33   3.70  -6.09  -8.29
198406  -2.67  -8.14   0.06  -5.47  -0.36  -8.77   0.49  -7.64   1.39  -5.25
198407 -10.94 -17.21  -7.83 -14.74  -9.13 -17.75  -8.47 -15.20  -8.42  -9.98
198408  10.96  13.57   9.86  16.00  10.29  14.64   9.93  13.34  10.56  12.61
198409  -1.02  -0.51   1.34   0.19  -0.78  -1.31  -2.33   2.11  -1.77  -1.16
198410   0.00  -1.38   1.54  -0.84   0.52  -2.02  -0.68   1.01  -1.27   0.17
198411  -0.94  -0.03  -2.78  -0.97  -1.86  -0.19  -2.59  -0.96  -2.12   0.04
198412  -1.27  -2.62  -0.58  -2.73  -0.46  -2.34  -1.97  -1.59  -0.81   0.04
198501   5.01   7.59   4.43   7.87   3.02   5.71   4.29   5.82   5.52  10.29
198502  -1.98  -1.79  -1.56  -1.96  -2.11  -0.90  -2.69  -1.42  -5.89  -1.02
198503  12.48  13.01  12.58  13.41   9.39  13.36   9.69  12.16   9.85  19.45
198504   1.81   1.60   2.04   1.07  -0.14   0.13  -0.21  -0.10  -0.68   2.95
198505   8.77   7.32   9.43   8.42   8.58   6.26   9.67   4.53  12.83  12.38
198506  -3.28  -5.35  -4.20  -6.81  -1.05  -7.76  -1.14  -5.62  -2.57   2.95
198507   3.32   2.56   3.37   5.33   1.95   4.79   3.03   3.94   2.70  -0.85
198508   4.58  10.29   3.01   6.80   3.57   8.19   2.96   5.28   4.33  12.78
198509  -1.58  -2.65  -2.43  -2.40  -4.65  -3.35  -4.32  -0.56  -2.01  -3.68
198510   8.69   8.67   7.82  10.97   6.16  10.03   7.56   8.23   8.21   9.06
198511  17.15  23.19  12.93  20.67  15.15  22.72  15.07  21.50  15.55  21.50
198512   8.53   3.43   7.45   5.53   6.40   1.74   8.87   1.74  10.28  14.20
198601   9.09  17.46   4.47  12.16   6.18  16.75   3.10   9.02   8.63  17.79
198602  17.07  18.59  16.74  14.39  18.55  20.24  12.86  13.96  19.42  24.98
198603  10.78  10.02   7.87   6.51  12.97   9.43  10.16   4.50   8.88  20.95
198604  11.12  15.83  12.62  21.04  10.80  17.65   9.72  21.12   6.07   5.24
198605 -12.77 -14.59 -11.66 -13.82 -12.04 -13.94 -10.73 -11.80 -12.23 -10.24
198606   5.36   5.32   5.16   4.75   4.30   4.50   7.18   3.54   3.61   4.32
198607  10.73   7.65  13.49   6.71  11.23   8.07  12.59   3.78  13.49  14.95
198608   9.90  18.03   5.71  15.44   9.78  18.52   5.05  16.30   6.89  15.95
198609  -6.14  -5.96  -4.70  -3.64  -5.72  -5.73  -5.36  -2.66  -9.14 -10.73
198610   1.94  -1.54   1.94   0.26   4.13  -0.70   4.11   0.22   2.17   1.38
198611   5.01   1.79   6.22   0.75   8.22   2.04   7.07   1.15   8.44   5.43
198612   0.84   3.64  -0.19   2.14  -1.61   4.17   0.49   1.51   0.05   0.91
198701  12.66  15.47  10.46  14.44  13.43  16.05  10.23  13.09  12.00  12.71
198702   1.10   1.74   0.16   0.51   3.14   2.60   1.99   0.17   1.26   8.86
198703   6.65   8.62   5.06   8.80   5.53   8.79   5.48   5.99   5.78   7.24
198704   1.32   2.83  -0.28   1.87   2.12   4.76   1.12   2.16   0.74   7.22
198705  -5.58  -3.46  -6.63  -6.07  -6.29  -5.78  -4.77  -2.87  -6.80  -4.49
198706  -6.28  -6.49  -6.27  -5.78  -5.29  -5.93  -5.11  -6.02  -6.35  -6.21
198707   2.90   5.35   1.34   2.72   3.54   5.69   5.16   2.19   2.66  10.46
198708   5.63   3.40   5.75   4.81   5.91   4.90   4.90   2.37   5.60   7.50
198709  -6.14  -6.67  -6.77  -6.75  -3.45  -7.51  -5.05  -7.98  -7.08  -1.21
198710 -19.29 -16.66 -20.58 -20.19 -19.22 -15.57 -21.55 -12.99 -22.79 -17.81
198711  -0.38  -4.64   1.97  -4.20  -2.06  -3.32   2.85  -0.24  -2.16  -2.70
198712   0.40  -1.52   2.69  -1.32  -0.46  -0.05   0.48   1.44   1.38  -1.91
198801 -15.88 -13.60 -15.43 -17.86 -14.97 -14.03 -14.69 -11.71 -17.41 -21.03
198802  20.51  17.31  17.75  22.10  16.27  18.62  17.47  13.85  24.82  22.84
198803  -5.65  -3.50  -5.45  -4.98  -5.95  -4.84  -4.94  -3.37  -5.74  -5.13
198804   8.23   7.73   8.16   7.19   9.67   7.98   8.37   6.25  10.97   7.36
198805   6.87   9.36   5.60   9.41   4.41   7.76   7.21   6.68   3.64   9.56
198806   1.31  -0.02   0.65   2.52   0.20   4.69   0.17   1.34   0.63  -0.90
