
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198007   1.49   1.19   3.10   0.95   1.16   0.00   3.20   0.45   3.21   4.61
198008  -2.05  -2.89   0.70  -1.42  -0.36  -3.89  -1.48  -2.89   0.80  -0.98
198009  -0.62  -1.98  -0.52  -1.11   0.05  -1.82   0.37  -1.05  -0.42  -4.17
198010  -7.00  -8.68  -4.18  -6.90  -5.23  -7.88  -6.66  -8.55  -3.88  -6.99
198011   0.37   0.41  -0.12   0.63   0.43   1.09  -0.42   0.45   0.10  -1.92
198012  -3.56  -2.24  -2.78  -3.12  -3.68  -3.03  -4.49  -2.79  -2.71  -3.23
198101  -9.19 -10.12  -8.91  -9.22  -9.79  -9.35  -9.60  -9.26  -9.40  -9.83
198102   0.02   1.05  -0.16   0.03  -1.38   2.27  -1.57   0.33  -0.38   4.88
198103   4.92   6.68   3.36   4.73   2.78   7.64   2.77   5.73   3.19   9.29
198104  -0.30  -0.59  -1.00   0.77  -0.27  -2.60   2.18  -0.20  -0.74  -6.18
198105  -7.20  -7.16  -6.18  -7.22  -6.76  -6.41  -5.96  -7.22  -6.62  -6.29
198106   3.33   4.25   1.47   5.53   1.66   1.85   1.81   4.91   0.43  -4.76
198107  -1.77  -1.89   1.15  -2.79  -4.76  -1.89   0.00  -2.89  -2.23   5.80
198108  -0.46  -0.09  -0.12  -0.55  -0.15  -0.13  -1.73  -0.32  -0.72   1.38
198109  -1.06  -3.06  -0.42  -1.29   1.80  -2.63   0.30  -2.15   0.02  -4.73
198110   3.08   3.75   4.90   3.56   2.67   4.84   2.31   4.50   4.90   0.33
198111   5.81   7.62   3.21   5.91   4.30   6.73   3.62   7.71   4.08   6.82
198112  -4.58  -5.64  -3.50  -5.19  -3.20  -4.12  -4.18  -5.77  -2.55  -1.20
198201   0.11   0.23  -1.78  -0.45  -0.41   0.15   1.16  -0.36  -0.84   2.51
198202  -1.93  -1.46   0.23  -3.97   0.29  -3.66  -1.16  -4.31   1.02   4.13
198203   2.22   4.58  -2.32   3.28   2.33   4.37  -1.27   4.59  -1.00   2.35
198204   3.15   3.75   2.73   3.41   2.40   3.51   0.81   4.65   3.28  -0.43
198205  -2.47  -3.14  -1.67  -2.36  -2.09  -3.45  -2.92  -4.01  -1.45  -2.92
198206  -7.17  -9.43  -5.05  -8.74  -5.96  -8.65  -5.67  -8.91  -5.92  -6.56
198207   0.08   0.70  -1.10   1.56  -1.16   0.73  -0.65   0.76  -1.83  -1.45
198208  -2.33  -3.34  -2.16  -2.78  -1.25  -3.05  -2.79  -4.06  -1.81  -2.82
198209   4.09   4.06   6.79   5.43   4.29   3.41   5.29   3.92   5.45   1.09
198210  -1.88  -2.88   1.64  -2.41  -0.02  -3.17  -2.86  -1.12   2.22  -4.97
198211   5.35   4.20   8.35   4.75   5.24   3.54   4.72   3.71   7.84   3.54
198212  10.80  12.49   7.71  11.93   7.93  12.58   7.39  13.09   8.61   7.90
198301  -3.27  -3.07  -3.91  -2.77  -4.21  -1.38  -3.78  -3.42  -4.02  -0.83
198302   8.27   9.24   7.74   7.67   6.95   8.12   4.61   4.58   8.23  11.58
198303  12.15  13.35  11.18  13.71  11.29  10.76   8.16  12.62  12.87   9.77
198304   4.91   5.36   6.27   4.57   4.39   0.83   4.62   1.76   5.95   5.05
198305  -7.33  -8.93  -5.17  -7.14  -5.98  -5.87  -5.17  -7.35  -5.89  -6.01
198306   4.11   3.90   5.47   3.57   3.59   2.44   2.65   0.86   5.19   4.19
198307  -1.38   0.12  -1.46   0.70  -3.35   0.67  -4.97  -2.72  -1.00   1.37
198308  -7.87  -8.26  -8.36  -7.92  -9.26  -6.25  -7.51  -7.18  -7.93  -7.63
198309   5.34   6.19   5.09   5.90   5.61   6.17   5.58   4.57   4.73   5.82
198310   8.75   7.17  14.11  10.46  10.38   6.64   4.07   4.19  16.08   8.14
198311  -1.10  -1.84   0.38   0.00  -2.14  -0.90  -3.17  -2.05   1.49   0.24
198312   0.80   1.31  -1.03   0.80   0.32   0.98   1.93   2.65  -1.73   1.10
198401   0.33   1.83  -2.20  -2.69   0.32   1.63  -0.89   4.29  -3.00   1.74
198402   3.33   1.94   2.46   3.45   4.66   2.26   5.20   3.45   4.31   3.94
198403   0.90   1.63   0.06  -0.01   1.49   0.82   1.71   1.05   0.03   1.79
198404  -3.86  -4.77  -3.38  -2.92  -4.55  -4.96  -4.31  -3.20  -3.30  -6.75
198405  -4.19  -4.78  -2.31  -3.27  -2.34  -3.39  -0.36  -4.73  -3.55  -4.23
198406   0.20  -0.58   2.37   0.59   2.76  -0.13  -0.92  -0.92   2.00  -0.41
198407  -9.70  -9.51 -10.69  -9.38  -8.10 -10.41  -9.58  -9.22  -9.60 -14.28
198408   6.13   3.49   8.12   5.32   9.94   2.81   8.68   3.65   8.62   4.47
198409   1.79   1.05   2.30   2.02  -0.54   0.16  -1.82   1.28   3.69   3.56
198410   1.78   3.66   0.63   0.31   0.68   3.41  -2.29   1.07   1.89   3.26
198411  -1.00  -0.66  -2.69  -1.32  -0.12  -1.38   1.61   0.13  -2.09  -4.26
198412   0.11   1.00  -1.70   1.72  -2.91   0.73  -0.84  -0.81  -0.81   0.86
198501   3.47  -0.40   7.31  -1.49  10.12  -1.43   5.12  -1.28   8.71   3.99
198502  -2.98  -4.03  -3.27  -0.47  -5.23  -2.39  -1.84  -1.70  -2.75  -4.23
198503   9.03   8.83   7.57   8.11   7.39   9.56   7.79   8.90   7.79   8.40
198504   4.06   3.21   4.94   3.22   8.02   3.37   2.57   3.77   5.09   1.28
198505  10.02   8.95   9.92   8.87   6.95   9.57   4.39   9.16  10.75  12.18
198506   6.97  10.09  10.80   2.85  13.48   7.56   4.94   3.06   8.51  15.18
198507   4.38   7.21   2.44   4.68   1.26   4.68   2.33   6.15   2.37   0.24
198508   9.73  10.11  12.43   8.79  10.98   8.93   6.45   6.82  11.10  15.63
198509  10.50  12.60   7.25   8.51   8.97   9.90  11.48  11.63   9.31   8.39
198510  15.18  12.86  15.83  14.55  14.50  13.89  12.93  12.42  17.18  24.15
198511   1.78   2.29   2.13  -0.16   1.46   1.42  -1.30   0.75   1.58   4.00
198512  14.70  12.10  13.11   8.28  15.75  11.03  12.93   8.90  15.09  12.93
198601   3.44   4.79   4.70   5.54   5.73   8.17   7.43   3.56   3.63  21.60
198602   5.91  15.09   1.40  15.35   6.57  12.90  -0.60  15.63   1.13   9.14
198603   4.59   5.19   3.33   3.86   5.93   5.11   2.15   3.28   3.95   1.27
198604  11.33   7.82  14.29   5.79  13.71   8.02  11.44   6.58  13.73  11.97
198605 -14.13 -14.98 -14.19 -12.57 -14.54 -15.63 -14.21 -13.41 -14.41 -14.89
198606   3.56   0.46   4.94  -0.39   4.01  -0.71   6.54   0.37   4.78  -0.41
198607  -2.13  -2.73  -3.22  -3.39  -2.09  -4.37  -4.72  -2.77  -3.14  -4.27
198608  17.60  16.58  18.36  17.23  19.13  15.00  19.47  17.34  17.78  16.93
198609  -4.40  -2.23  -5.00  -3.36  -6.65  -1.88  -2.37  -2.48  -5.81  -7.18
198610  -0.58   1.04  -1.12   2.46  -0.28   2.21  -0.08   0.47  -0.48  -0.28
198611   9.27   7.41  10.70   5.64   9.41   4.85  10.82   6.73  10.80   5.24
198612   1.13   1.55   1.07   2.58  -0.63   0.66   1.95   2.49   0.84   0.31
198701  -4.14  -2.97  -8.31  -3.69  -5.69  -2.46  -3.40  -1.67  -7.70   0.43
198702  -5.81  -0.84  -8.50   0.14  -8.73  -0.32  -5.99  -0.49  -8.94  -3.66
198703   5.35   4.76   5.56   5.44   3.47   4.10   4.87   6.12   4.76   3.18
198704   1.64   2.60   0.88   2.55   0.05   2.91   2.94   2.62   0.40   1.81
198705  -3.16  -0.34  -4.08   0.59  -5.86   0.61  -2.44  -0.54  -4.48  -3.72
198706   6.22   5.21   8.83   5.27   7.26   5.14   5.39   4.07   8.02  -1.06
198707   5.10   4.30   6.50   5.55   8.83   4.54   2.62   6.73   6.64   4.12
198708   3.80   6.15   2.53   5.31   3.24   5.11   0.57   5.56   1.97   4.96
198709  -3.51  -2.74  -5.23  -3.22  -4.08  -4.84  -3.92  -2.80  -4.91  -4.73
198710 -17.35 -11.66 -21.98 -11.64 -23.52 -11.43 -18.26  -9.63 -21.62 -18.28
198711  -7.56  -3.05 -10.77  -2.03  -5.71   1.60 -12.14  -0.94  -9.98  -6.93
198712   2.65   3.07   3.81   2.20   4.41   1.76   0.44   3.41   2.23  -6.06
198801 -12.48 -12.65 -10.57 -13.75 -11.81 -10.62 -14.57 -11.85 -12.50 -15.59
198802  15.41  15.74  17.61  17.32  14.68  10.02  13.36  10.92  18.35  26.73
198803   1.40   0.52   0.59  -0.63   4.12   3.23   6.73   2.04   0.79  12.57
198804  -2.47   0.34  -3.38  -2.90  -3.43  -0.12  -4.29  -1.09  -3.29 -10.30
