
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198007  -5.02  -4.21  -5.28  -3.76  -3.95  -3.97  -4.37  -5.07  -6.32  -5.35
198008   6.33   6.99   6.54   7.06   6.50   6.93   7.52   6.86   8.34   2.44
198009   5.81   6.04   5.73   7.00   6.14   7.87   5.40   5.77   7.71   4.56
198010   3.01   3.81   3.89   5.04   4.50   5.47   2.91   2.18   5.09  -0.38
198011  -3.28  -4.17  -2.70  -4.56  -3.32  -4.24  -3.58  -3.75  -2.58  -4.98
198012   7.34   7.59   5.77   7.61   7.36   9.28   5.28   8.67   5.18   9.13
198101   2.27   2.30   1.23   1.04   2.44   1.36   1.92   1.38   2.95  -2.18
198102  -1.79  -1.27  -1.21  -1.44  -1.73  -4.50   0.88  -3.00   1.39  -6.18
198103   5.67   7.24   3.58  11.37   2.97   9.60   0.83   5.90   5.90  -0.42
198104   6.70  12.51   2.34  17.11   1.45  14.85   3.76   6.29   5.47  -7.41
198105  -2.90  -1.64  -2.40   1.71  -4.89  -1.63  -4.01  -2.07  -0.50  -9.95
198106   3.79   6.39   1.32   5.08   1.72   8.06   1.41   2.95   0.66   4.44
198107  -3.86  -1.53  -6.96  -0.12  -6.00  -1.25  -6.96  -2.65  -5.02  -9.22
198108   4.71   3.83   4.43   3.50   4.57   5.18   4.01   9.23   1.66  10.63
198109  -9.98 -13.53  -8.68 -17.25  -4.96 -13.51  -8.82  -7.96 -10.79  -2.64
198110  -0.40   0.43   2.12  -1.10   1.45  -2.63  -0.24  -3.96   2.83  -0.16
198111   9.70   8.08   8.99   4.39  12.21   7.01  11.58  11.49   9.51   9.62
198112   1.31   0.49  -0.18   2.36   1.89   1.14  -0.27  -0.27   2.37  -1.29
198201  -3.04  -3.06  -2.51  -2.95  -2.75  -4.34  -3.07  -4.70  -1.28  -3.05
198202  -6.37  -3.08  -6.93  -5.66  -6.13  -6.79  -7.03  -5.66  -7.49  -5.43
198203  -7.68  -7.83  -8.39  -8.70  -6.67  -6.86  -9.80  -4.76 -10.27   5.63
198204   6.59   7.94   6.83   7.19   6.24   4.83   6.53   4.64   8.37  -4.91
198205  -3.79  -3.50  -3.24  -3.92  -3.87  -5.73  -3.35  -6.10  -2.32  -6.59
198206  -5.77  -6.18  -5.38  -6.48  -5.36  -6.46  -3.27  -7.04  -5.46  -5.55
198207  -3.15  -3.05  -2.91  -3.73  -2.89  -3.75  -4.57  -3.19  -3.36   7.49
198208  -0.93   0.27  -0.97   0.55  -1.65  -1.17  -2.16  -1.33  -0.13  -6.31
198209  -3.74  -3.62  -3.57  -4.10  -4.05  -5.17  -1.75  -5.65  -2.78 -15.27
198210  -0.37  -0.09  -0.34   0.86  -1.19  -0.99   0.27  -2.77   1.65   3.96
198211  17.93  16.78  17.13  20.24  15.82  21.82  20.10  18.05  18.96  13.14
198212  11.48  13.32  10.30  14.48   9.66  15.50   8.54  13.50  11.34  16.23
198301  -3.38  -1.85  -2.85  -6.28  -0.95  -2.28  -4.04  -0.48  -5.13  31.10
198302   1.72   4.18   1.43   0.91   2.21   4.61   1.12   5.78   0.49  -2.23
198303   2.61   0.58   1.00   4.05   1.38  -0.42   5.14   0.70   2.93  -4.84
198304   2.55   0.98   3.07   3.25   2.35   0.05   3.20   1.80   3.21  12.94
198305   0.42  -0.83   2.15  -0.73   0.13  -2.25   2.86  -2.71   2.22  -1.87
198306   2.18  -0.11   2.67   2.80   1.84   2.10   0.68   0.93   3.18   2.36
198307   1.08  -0.70   2.40   0.79   2.30  -1.85   1.21  -1.52   3.27  -6.91
198308  -1.23  -1.23  -0.27  -2.24   0.54  -0.77   2.75  -0.26  -1.27   1.20
198309   7.33   6.21   6.03   8.22   5.98   9.89   3.22   6.74   7.43   5.41
198310   0.06   1.86  -0.77   0.74  -1.68   1.36  -0.22   0.60  -1.28  -3.41
198311   0.16  -0.78   1.00  -1.09  -0.90  -0.86   0.26  -1.80   0.55  -7.03
198312   7.66   8.80   5.69   8.78   5.60  11.17   5.72  10.11   6.69   3.16
198401   5.30   3.48   3.86   5.13   1.30   3.15   2.91   5.04   1.73   2.55
198402  -0.11  -0.37  -1.65  -1.07  -2.40  -2.74  -2.27   0.89  -3.67  -2.03
198403  18.06  15.61  14.95  15.84  13.90  11.97  12.86  17.25  12.18   9.98
198404  -1.91  -2.46  -3.78  -1.90  -1.80  -3.35  -3.73  -1.34  -3.54  -1.57
198405 -12.53 -10.92 -13.60 -13.16 -11.93 -11.99 -11.14 -10.18 -13.53  -3.79
198406  -0.17  -0.95   0.52  -0.39   0.61  -0.81  -1.06  -1.43   0.03   0.34
198407  -7.14  -6.99  -8.08  -7.19  -7.04  -5.89  -6.48  -6.54  -6.35 -10.70
198408   9.18   7.33  11.91   9.28  10.94   9.62  12.25   5.31  13.56   7.15
198409  -0.33  -3.68   3.70  -2.58   2.08  -1.76   1.54  -4.21   2.38   3.22
198410   4.40   4.37   2.76   5.50   4.30   0.58   4.29   4.11   0.86   3.44
198411   1.16   3.19  -1.81   1.77  -2.42  -0.97  -3.29   3.98  -5.28   3.55
198412   4.08  10.83   0.33   7.62  -0.09   8.78   0.88  10.96   0.28  -1.06
198501  -0.09   1.31  -0.37  -0.17  -0.61  -2.61   1.53  -4.83   0.37  -2.24
198502   3.92  -0.82   7.93  -0.84   8.83  -0.85  -3.31  -1.88   7.55   0.27
198503   5.59   2.97   5.55   3.04   5.93   4.98   2.85   8.86   2.79  14.59
198504  -3.78  -1.17  -5.29  -1.34  -6.14  -2.91  -2.33  -2.61  -5.14   1.30
198505   3.92   1.53   4.40   2.08   5.52   6.59   0.68   9.93   1.74   6.55
198506   4.66   4.55   5.15   3.83   5.29   4.43  -0.01   3.86   4.51   2.52
198507   1.05   2.39   0.70  -0.75   2.14   1.49  -0.07   5.69  -1.60   1.78
198508   2.31   3.73  -0.07   3.52   0.58   4.70   5.34   6.80  -0.35  -2.96
198509  10.29  11.58   6.81  15.83   6.21  20.06   8.70  24.14   4.95   6.46
198510   2.51   1.00   4.78   1.09   2.20  -3.11   7.13  -7.09   7.02   4.48
198511   1.77   2.41   1.57   1.77   0.44   0.66   2.86   0.23   1.72   1.63
198512   5.92   4.14   6.33   7.95   5.98   9.73   6.78   6.57   6.00  10.30
198601   2.93   5.27   1.63   5.22   1.57   3.29   7.83   3.64   2.20   1.85
198602  11.29   6.61  12.53   5.17  11.33   6.48  10.88  15.86   9.19  15.75
198603  19.53  13.93  22.30  12.95  21.01  16.78  20.70  18.29  19.51  15.55
198604   4.16  12.75  -0.28  13.78  -1.89   9.96   5.60   1.90   1.71   3.58
198605   1.62  -1.69   3.50  -2.93   3.77  -4.44   3.82   0.71   2.35   9.51
198606   7.80   6.92   7.39   7.44   6.54   7.18   5.76  12.49   5.33  10.05
198607  14.14   3.96  18.72   5.00  15.06  18.08  11.15  27.39  12.76  10.79
198608   7.99  13.58   7.61  10.19   5.68  11.38   0.38   5.97   5.25  -6.19
198609   3.86   5.94   4.56   4.93  -1.06  12.99   1.53   9.67   0.83  -8.10
198610 -12.56 -11.88 -13.53  -8.47 -11.29 -12.40 -10.43 -17.47  -9.38  -8.89
198611   4.73   2.60   4.94   1.73   6.18   1.30   8.54   4.46   5.60   6.33
198612   8.33   8.32   9.53   7.72  10.84   8.10   9.98   7.44  10.90   1.95
198701  18.09   2.88  27.51   1.63  19.51   3.30   4.23   8.94  24.95   8.77
198702   0.43   0.91   0.41  -0.34  -1.19   0.78   4.01   3.58  -0.96  12.74
198703  11.20   3.84  14.12   2.61  14.75   0.50   8.95   7.21  14.77  12.48
198704  16.89  11.51  19.57  11.60  15.72  12.71   7.23  13.22  18.06  18.99
198705  -1.34   5.54  -3.97   3.56  -1.19  -0.80   5.34  -1.54  -2.87  -1.73
198706  -7.78   4.65 -11.84   3.23  -8.54   2.45  -6.46  -2.28 -11.41  -7.75
198707  -3.05   2.33  -4.66   1.74  -5.16  -1.65  -0.91  -3.31  -4.11  -3.73
198708  11.96   6.47  13.89   7.41  11.52   7.20   8.64  13.52  12.88  17.16
198709  -3.60   7.64  -7.62   5.68  -6.54   7.25  -4.47   1.50  -7.18   0.19
198710  -8.26 -12.68  -6.81 -11.29  -5.59 -11.61  -9.11  -6.00  -8.72   0.86
198711   3.85   4.96   3.39   4.54   3.65   3.35   5.03   3.03   4.93   2.73
198712   1.58   6.97  -1.05   6.76   0.97   3.65   3.41   3.03  -0.15  -5.32
198801   4.79   1.56   5.32   4.93   3.41   1.02   1.62   2.69   5.14   5.66
198802   7.69   9.34   6.74  11.44   5.78   9.86   4.60  11.70   5.50   6.01
198803   6.82   9.36   6.15   8.46   6.00   8.54   5.00   7.31   5.38  16.97
198804   0.91   3.22  -0.16   1.04   1.33   2.98   2.66   2.38  -0.13  -2.13
198805  -4.07  -3.37  -5.11  -5.31  -4.02  -4.35  -4.85  -1.47  -6.05  10.91
198806  -3.28   0.93  -5.65  -2.34  -4.90   0.37  -7.60   3.38  -5.43   4.86
198807   3.94  10.79   2.36   8.60   2.47  14.81   2.39   5.50   2.19   2.64
198808  -7.91 -10.71  -6.88 -10.57  -6.05 -12.27  -5.92  -9.44  -6.92 -10.15
198809   3.09   3.19   1.01   2.14   0.94   3.46  -1.57   7.07  -0.67  13.30
198810   5.89   4.43   5.25   6.96   2.81   4.33  -2.24   9.77   3.40  14.35
198811   9.66   8.79   9.90   8.62   8.87   8.29   7.26   8.15  10.58  13.87
198812   0.36   3.62   0.43   3.96  -0.13   3.59  -2.67   1.83   1.10  -7.32
198901  -0.59   0.82  -1.81   0.48  -1.14   0.01  -0.32   2.72  -3.17   2.92
198902   1.82   1.71   1.29   1.81   2.20  -0.96   2.96   3.23  -1.30   6.31
198903  -3.92  -1.75  -4.65  -4.07  -4.72  -7.76  -0.99  -4.93  -5.22   3.23
198904   0.13   2.12  -0.99   0.24   0.10   1.22  -0.45   2.75  -2.09   6.36
198905  -5.05  -0.86  -6.64  -1.72  -7.27  -0.21  -6.71  -3.40  -5.27  -6.23
198906  -4.42  -3.14  -4.75  -3.71  -5.07  -4.98  -5.37  -4.65  -3.14  -8.83
198907  13.10   9.58  14.13  11.27  14.67  11.29  13.81  12.03  14.05  13.41
198908  -7.23  -4.62  -8.15  -5.68  -9.22  -8.44  -8.36  -9.10  -6.51 -11.32
198909   7.26   8.40   6.47   7.68   7.80   5.04   8.62   7.37   6.32   5.56
198910  -3.48  -2.90  -3.99  -2.48  -4.25  -2.61   0.37  -2.83  -5.54  -0.16
198911   5.15   1.14   6.59   3.52   6.84   3.88   3.16   5.04   5.32  10.43
198912   0.80   1.25   0.25   0.06   0.46  -0.72  -0.35  -0.18   2.05   1.62
199001  -5.87  -3.23  -7.38  -3.65  -7.62  -4.21  -6.71  -5.01  -7.21  -7.44
199002 -10.02  -8.80  -9.98  -9.64  -9.70  -8.51  -9.05  -9.16 -10.46  -7.37
199003 -18.58 -15.34 -21.58 -14.95 -20.34 -14.47 -23.46 -18.56 -17.07 -21.52
199004  -0.17   0.60   0.10  -0.02  -1.54   0.38   2.05   2.88  -4.12   2.31
199005  14.82  12.66  16.52  12.82  17.38  11.30  18.32  14.20  15.18  22.18
199006  -4.50  -1.76  -6.07  -2.19  -5.59  -3.14  -5.06  -4.74  -2.85 -11.85
199007  -0.53   0.03  -0.59  -0.02  -0.71  -1.65   0.38  -0.57  -0.92  -1.25
199008 -10.44 -11.23  -9.75 -10.15 -11.92  -9.51 -11.36 -10.41  -8.62 -18.83
199009 -16.53 -14.50 -18.92 -15.22 -17.11 -14.45 -16.82 -16.69 -18.47 -23.92
199010  25.92  21.29  25.94  21.45  31.09  25.98  29.46  24.66  22.05  41.14
199011 -12.20 -12.80 -13.15 -10.67 -16.40 -13.85 -15.78 -14.51  -9.43 -24.79
199012   3.73   0.74   5.40   1.33   5.08   3.75   2.16   3.63   4.71   7.45
199101   2.98   1.73   3.35   2.29   1.21   2.79   1.90   1.83   4.34  -0.71
199102  11.68  16.04   8.64  15.43  11.94  11.56  15.95  15.83   5.81  26.25
199103  -5.23  -5.84  -4.96  -6.12  -5.07  -6.66  -7.16  -7.00  -3.16  -6.36
199104   2.58   2.01   2.34   2.38   0.80   0.10   1.63   1.71   3.36  -0.63
199105  -1.34  -1.96  -1.65  -2.54  -2.50  -2.51  -2.56  -1.25  -1.60  -0.59
199106  -7.32  -6.53  -7.98  -6.84  -7.96  -4.49  -7.47  -6.91  -7.22  -8.73
199107   3.06   4.39   2.02   4.05   1.99   3.12   2.69   3.94   2.01   4.77
199108  -5.54  -7.85  -4.72  -7.21  -5.88  -6.12  -8.84  -6.35  -4.75  -5.01
199109   8.31   9.11   6.99   8.75   8.02   5.62  14.41   9.84   5.33  10.39
199110   4.74   2.22   6.91   2.75   5.36   1.89   4.10   1.77   8.04   4.61
199111  -7.06  -8.42  -7.49  -8.40  -6.02  -6.08 -10.03  -7.67  -6.46  -9.49
199112   3.09   4.31   2.95   3.84   3.10   4.18   4.34   4.55   2.07   4.03
199201  -5.71  -1.70  -8.08  -1.60  -7.99  -2.90  -4.39  -3.42  -8.21  -7.25
199202  -7.60  -7.33  -8.51  -6.82  -9.43  -5.87  -5.03  -6.85  -9.39  -7.77
199203 -11.03  -9.72 -12.57  -8.54 -13.02  -8.89 -10.84  -9.70 -13.07 -12.57
199204  -6.88   0.44 -11.41   0.17 -12.14   1.44  -6.16  -2.00 -12.04 -10.85
199205   8.25   6.50  10.16   6.14   9.59   5.03   9.47   7.76   9.27  15.95
199206  -9.00  -7.16 -10.76  -6.63 -11.11  -5.02  -8.48  -7.42 -10.55 -12.22
199207  -1.08  -4.04   1.62  -4.63   2.43  -3.06  -5.22  -3.02   2.38  -0.33
199208  17.93  12.34  23.39  12.42  23.97  10.16  17.58  14.11  24.31  20.06
199209  -3.17  -2.81  -4.08  -3.87  -3.60  -4.04  -3.28  -2.49  -4.27  -0.19
199210  -4.97  -3.80  -4.59  -3.77  -5.26  -4.10  -5.74  -5.16  -3.65 -11.30
199211   2.86   2.17   4.31   2.38   4.00   1.35   3.32   1.74   4.70   1.61
199212  -1.21  -0.31  -1.59  -0.56  -2.43   0.95  -2.89  -0.97  -1.09  -2.18
199301  -0.08  -0.69  -0.11  -0.48   0.38   0.20  -0.02   0.17  -0.54   2.70
199302   3.97   2.30   4.10   2.72   4.07   4.91   2.94   3.73   4.19   1.33
199303  16.18  20.66  11.57  16.39  11.91  25.26  13.10  19.47   9.13  19.30
199304  17.19  20.20  14.17  17.16  15.47  17.10  14.17  19.74  13.86  21.87
199305   3.41   1.19   6.25   1.12   6.04  -0.69   1.87   1.45   7.12   7.09
199306  -3.18  -5.17  -0.84  -4.91  -1.26  -6.18  -3.78  -4.59   0.12  -9.52
199307   7.74   8.42   8.27   6.59   8.10   8.55   6.66   6.70   9.38   1.68
199308   2.39   3.43   1.75   2.68   2.02   2.30   2.53   1.77   1.73  -0.15
199309  -5.73  -4.98  -5.50  -2.77  -6.73  -6.55  -1.03  -5.94  -4.74 -12.04
199310  -0.85  -0.75  -0.37  -1.59   0.61   0.65  -4.40  -0.61   0.14  -8.94
199311 -15.88 -15.96 -17.43 -12.14 -18.79 -13.05 -14.10 -13.45 -18.28 -19.08
199312   2.50   4.84   1.54   2.19   2.80   4.93   0.67   2.22   2.28   5.14
199401  17.17  19.27  16.32  15.55  19.17  18.90  15.75  16.00  17.63  24.24
199402   3.93   5.50   3.03   3.74   3.68   5.06   3.04   3.84   3.56   5.53
199403  -3.03  -1.76  -4.38  -2.78  -4.83  -2.96  -1.01  -1.91  -4.66   3.00
199404   3.64   3.48   3.43   2.78   4.36   2.10   2.62   4.52   3.12   4.89
199405   1.77   3.74  -0.03   0.73   1.56   0.70   0.25   2.24   0.78   3.29
199406   5.50   6.58   4.59   6.93   4.57   6.21   6.50   6.21   4.73   9.16
199407  -3.86  -4.82  -3.57  -2.58  -4.36  -5.24  -2.35  -3.60  -4.15  -5.59
199408   0.76   1.40   0.33   0.19   1.10   3.31   0.51   1.62   0.26   1.42
199409  -2.64  -2.66  -3.02  -2.16  -3.40  -1.85  -2.02  -1.76  -3.12  -3.40
199410   3.17   4.68   2.29   1.86   3.01   4.34   2.34   3.02   2.96   5.33
199411  -5.81  -5.78  -5.61  -4.45  -6.59  -6.39  -4.35  -6.01  -5.75  -7.69
199412   1.86   1.28   2.59   1.09   3.59   1.77  -0.11   0.78   3.19   1.29
199501  -6.58  -5.98  -5.85  -5.97  -5.98 -10.18  -6.88  -6.24  -4.82  -7.29
199502  -4.85  -4.81  -5.04  -3.30  -5.70  -1.99  -5.82  -2.66  -5.32  -6.91
199503   9.00  10.04   8.92  11.19   8.33  13.22   8.36  10.35   6.97   7.79
199504   4.88   2.27   5.90   3.39   6.27   2.92   4.10   3.34   6.74   3.73
199505  -5.79  -5.94  -5.58  -3.74  -5.83  -4.92  -5.77  -4.82  -4.52 -10.37
199506  -4.57  -2.59  -6.12  -1.34  -6.53  -0.75  -3.09  -2.32  -7.57  -9.40
199507   7.03   6.69   7.49   3.62   9.24   3.85   6.12   3.61  10.26   9.27
199508  -2.91  -1.48  -4.17  -2.63  -4.15   0.15  -0.82  -2.75  -5.42   2.12
199509  -1.27  -2.39  -0.91   0.24  -1.67  -0.30  -3.38   0.24  -0.57  -1.34
199510  -4.14  -3.88  -4.16  -2.42  -5.62  -3.14  -2.85  -2.83  -4.56  -4.98
199511   4.89   4.22   5.51   1.87   6.30   0.92   4.45   2.37   6.63   7.36
199512   4.88   6.01   4.41   4.07   5.89   2.78   2.73   3.25   4.67   4.91
199601  -1.67   0.70  -3.22  -0.87  -4.01  -0.62  -0.90  -0.45  -3.75   2.16
199602  -1.50  -0.57  -1.80  -0.09  -2.80  -0.70  -0.01  -0.19  -2.68  -2.35
199603   3.05   2.48   3.26   1.18   4.22  -0.09   3.00   1.71   3.90   5.12
