
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198006   2.00  -1.52   5.31  -1.05   1.33   1.35   3.21   1.07   5.34   0.15
198007   0.64  -1.20   1.00  -0.49   1.11  -0.59   0.05   0.41   0.07   0.03
198008  -2.98  -2.56  -2.51  -2.28  -3.91  -3.50  -0.44  -3.68  -0.43  -5.06
198009   0.51  -2.26  -1.19   1.32  -0.26   0.50  -2.20   1.36  -3.13  -0.22
198010   6.21   8.85   5.28   9.00   2.93  11.08   2.05   9.83   3.42  -3.31
198011   6.18   9.11   5.75   7.13   8.87   7.54   5.92   7.39   4.46   1.64
198012   2.97   2.16   4.59   1.25   5.52   2.78   6.30   1.82   7.01   0.45
198101  -5.51  -4.64  -8.05 -10.02  -3.14  -5.26  -3.64  -6.01  -5.06  -5.31
198102  11.56  22.27   5.53  16.08   4.26  22.43   6.68  19.40   3.12  22.69
198103   6.87   7.80   8.35  11.05   6.00   8.56   5.62   8.45   7.06   3.56
198104  -6.44  -7.30  -6.89 -10.28  -4.47  -8.13  -6.99  -7.38  -6.97  -4.16
198105   3.63   0.06   3.75   0.00   6.42  -0.57   6.12  -0.09   4.01   3.85
198106   8.50  16.49   7.63  13.78   5.94  16.45   5.56  12.10   6.29  16.67
198107   2.89   9.45   2.02   8.22  -0.82  10.53  -0.64   2.74   0.94   1.64
198108   0.33  -1.24   2.56  -1.48   1.01  -1.20  -0.51   3.22  -1.49   2.23
198109 -12.69 -13.99 -10.20 -12.45 -11.40 -13.33 -11.61 -12.86 -10.14 -16.21
198110  12.10  12.50  13.18   8.10  17.48  13.08  14.74  11.72  13.76   1.79
198111   9.67   9.30   7.90  11.71   7.62   8.74   8.75  12.22   6.17  15.23
198112  -4.36  -5.14  -2.35  -4.31  -2.57  -5.02  -4.07  -5.56  -4.12  -9.22
198201  -1.73   4.84  -4.78   5.32  -3.51   1.35  -1.14   2.61  -3.79  -1.53
198202  -2.78  -2.56  -3.12  -2.82  -2.18  -1.36  -1.89  -1.03  -2.93   2.95
198203  -6.84  -9.39  -8.89  -7.43  -5.72  -7.81  -3.10  -6.65  -6.92 -12.26
198204  -3.04  -5.63  -0.90  -3.87  -2.22  -3.78  -3.85  -3.76  -0.71  -0.78
198205   2.11   0.14   3.89  -3.20   4.48  -4.33   0.80  -0.20   1.19   6.58
198206  -3.69  -8.19  -3.68  -3.17  -2.18  -4.65  -0.86  -2.98  -2.83  -5.98
198207   6.20   2.29   4.02   3.99  10.07   5.05   9.53   4.77   5.22   2.72
198208  -0.59  -1.11   2.09  -3.36  -1.79  -1.59  -0.50  -2.23   3.76   5.43
198209   4.34   2.87   1.91   5.00   5.63   2.96   3.77   2.13   1.59   0.99
198210  -4.44  -9.27  -2.68  -6.25  -1.11  -7.04  -0.65  -4.23   2.92 -14.20
198211  15.76   6.31  15.22   6.72  24.77   8.44  23.36   9.76  15.42   2.16
198212   8.23   8.23   5.24   7.46   7.78  11.51  11.68   8.37   5.59  11.74
198301  13.38  23.57   8.16  22.71   7.86  33.32   8.32  20.83   8.09  34.90
198302  21.12  23.30  20.80  20.15  22.04  16.78  18.02  19.58  17.08  37.17
198303  -0.68   1.81   0.94  -4.22   2.88  -3.17   0.46  -2.98   0.89  31.90
198304  12.35   4.30  12.76  12.15  18.56   9.71  10.59   5.78   9.47  -1.81
198305  -2.10  -3.68  -0.99  -2.96  -0.02  -2.61  -3.03  -4.44  -2.04  -4.48
198306  -5.94  -1.07  -6.26  -6.42  -5.95  -3.69  -6.49  -2.66  -6.67  -2.61
198307   7.93  11.72   7.20   9.80   7.27   8.46   6.52  10.16   6.94  14.61
198308   2.41   8.70   1.30   0.75   0.36   2.46   1.51   3.62   1.44  35.85
198309  -0.97  -1.14  -0.63   1.77  -2.90  -2.65   0.08   1.98   0.02  -3.39
198310  -1.55  -1.56  -1.19  -0.13  -0.41   1.00  -3.64  -2.85  -2.66  -7.64
198311   5.54   5.62   5.67   6.77   3.52   4.58   1.67   7.25   3.29   2.60
198312  -3.82  -0.51  -5.75  -1.07  -4.63  -3.98  -4.55  -0.61  -6.19 -12.08
198401   8.33  13.17   1.14  14.48   3.21  17.07   5.61  11.24   5.73  36.02
198402   1.22   3.21  -1.89   2.44   2.01   2.83   3.30   5.54  -2.62   6.75
198403   5.19  11.45   3.06   8.14   4.14   9.17   3.22   7.10   3.00  19.80
198404  -6.37  -4.17  -8.52  -6.54  -7.26  -5.72  -5.92  -5.33  -8.27   0.29
198405 -10.62  -7.71 -13.04  -8.00 -12.80  -6.46 -11.70  -8.20 -14.96 -12.79
198406   2.34   2.78   4.83   2.45   2.67   3.03   1.49   0.95   2.27  -9.69
198407  -0.14  -2.07  -1.54   2.65  -2.95   3.16  -2.08  -2.75  -0.83   4.00
198408   0.57  -1.74   4.23  -1.17  -0.02  -1.54  -1.67  -0.24   5.56  -8.89
198409  -6.14  -8.88  -4.62  -7.64  -1.48  -8.13  -1.71  -8.65  -7.35  17.85
198410  -2.76  -3.68  -2.27  -2.38  -4.45  -2.14  -6.47  -2.18  -3.47 -10.25
198411  -6.58  -5.70  -7.23  -5.41  -5.21  -6.62  -5.72  -3.61  -5.38 -12.47
198412  -2.12   0.16  -6.85   2.03  -3.78   0.86  -3.58   0.05  -8.86   5.38
198501   8.95  10.69   7.92   8.67   6.84  10.93   9.20   8.02   9.26   3.86
198502  -6.27  -7.12  -8.27  -3.62  -7.72  -1.44  -9.65  -5.63  -8.46 -10.03
198503   3.92   6.80   4.80   1.22   3.45   3.22   3.82   6.60   3.21   1.76
