
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198006   2.36   1.70   1.89   4.72  -2.00   7.48   1.39   4.16   1.89  -6.59
198007  -1.26  -1.13  -1.97  -0.83  -0.22  -1.47  -2.41   0.83  -5.21  -5.00
198008  -2.03  -3.91  -1.90  -2.07  -2.21  -1.96  -2.76  -1.40  -1.86 -14.96
198009  -1.81  -4.83  -0.04  -7.12   1.20  -4.98   0.50  -4.73   2.82  -2.81
198010  -5.46  -5.42  -4.69  -4.52  -5.48  -2.89  -2.37  -8.25   0.90  -7.67
198011  -4.04  -3.38  -2.70  -6.79  -3.33  -2.76  -3.10  -7.18   0.14 -11.18
198012  -2.90  -1.85  -3.40  -3.45  -3.11   0.04  -4.10  -0.33  -6.29  -5.56
198101  -6.59 -12.29  -7.88  -8.54 -10.49 -13.48  -5.20  -3.42  -7.56 -13.00
198102  -0.12   8.41  -2.51   2.80   2.85   9.48  -2.00   2.12  -3.90   4.91
198103  -0.91  -3.35   0.85  -3.07  -1.60   6.86  -0.52  -3.63   2.10   3.03
198104  -4.84  -4.44  -6.04  -6.05  -3.38  -3.84  -6.11  -4.05  -7.47  -1.33
198105 -13.77 -10.32 -13.33 -10.19 -10.99  -9.28 -15.19 -15.42 -12.96  -7.67
198106  -3.56  -6.55  -4.94  -1.09  -2.74  -2.85  -5.26  -1.55  -5.35  -2.25
198107  -2.18  -2.16   2.32  -4.47  -0.76  -7.99   0.33  -7.39   3.62  -8.81
198108   3.33   1.11   3.37   3.84   3.88   8.61   3.47   3.57   3.50   5.06
198109   2.15   1.48   1.86  -3.31   2.14  -0.47   3.04   3.27   0.53  -0.64
198110   1.84  -3.35   1.25   1.64   4.05  -6.00   4.05   3.71   1.37  -2.11
198111   4.68   0.33   4.58   4.66   0.30  -4.06   4.91   6.46   4.77   3.75
198112  14.69  15.67  10.13  17.81  10.11  24.75  13.23  20.69   8.54  17.16
198201   7.36   3.82   3.47  12.60   3.00   7.46   2.31  10.17   2.74  14.52
198202  -5.56   6.54  -9.54  -3.92  -8.37  14.49  -9.24  -5.24  -9.44  10.55
198203  -0.97  -4.88   1.73  -3.10   1.54  -2.87   1.45  -1.30   0.73  -6.24
