
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198007   3.59   7.80   2.51   1.71   8.35   6.34   5.79  10.09   6.69   8.56
198008  -0.86  -2.66  -0.50  -0.10  -4.09  -2.81  -3.23  -8.55  -3.89  33.62
198009   0.12  -5.37   1.71   1.32  -3.37 -11.97  -0.90  -7.06  -4.65  -7.83
198010   4.35  -5.96   6.08   9.30  -0.93  -8.42  -3.35  -3.42  -6.58  -9.12
198011   4.21  -5.19   5.73   6.86   0.65  -4.40   2.09  -7.02  -0.28   0.47
198012  -5.76  -3.86  -6.17  -7.15  -2.21  -5.67  -3.87  -4.46  -1.26  -3.12
198101  -5.50   3.50  -6.53 -12.05   0.80  -4.73  -5.63  -1.47  -6.17   1.17
198102  -0.27   9.02  -1.28   2.05   4.84  10.41  -1.85   6.51  -2.20  10.33
198103  -4.15   5.71  -5.79   3.83   2.56  15.54  -6.87   1.56  -8.41   9.52
198104  -3.49   7.21  -5.43  -1.55   1.13   5.71  -5.74   4.93  -6.44   8.41
198105  -7.94  -5.29  -8.45 -12.78  -6.05  -5.31  -7.56  -6.50  -8.49  -2.08
198106   0.06   6.41  -0.73   7.66   4.88   2.26  -2.91   5.75  -2.51  -1.55
198107  -1.12  -2.79  -0.18  -6.11  -6.61  -6.56   1.69  -3.92   2.02 -12.57
198108   1.45  -3.34   2.34   3.07   0.05   0.36   1.54  -1.00   0.50  -0.83
198109  -9.01  -9.74  -9.08  -1.08  -6.04  -8.71 -11.60  -5.91 -11.77 -12.68
198110   9.93   3.96  11.40   1.83   4.67   6.88  13.88   2.72  14.54   6.48
198111  10.67   9.55  11.38   8.74   7.45   8.56  12.18   8.03  11.77   3.57
198112  -3.15  -2.26  -3.29  -2.18  -1.78  -2.91  -3.27  -2.91  -3.48   1.05
198201  -3.46   0.57  -4.39  -5.12  -3.97   2.70  -3.83  -1.28  -0.48   6.02
198202 -10.03  -7.71 -10.98  -8.68 -11.40  -5.71 -12.39  -6.64  -3.06   2.46
198203   8.83  -0.18   9.78   4.34  10.48   4.65  11.54   5.87   0.71   3.46
198204   8.89  10.87   9.19  10.22   8.89   3.47   9.08   6.02   9.59   2.31
198205   0.90  -3.22   1.77  -1.28   2.03  -4.61   1.99  -2.27   1.62  -8.00
198206 -10.27 -11.15 -10.35 -10.34 -10.40 -11.03 -11.18 -12.69  -5.04 -10.92
198207  -0.22  -4.03  -0.34  -7.08   0.83  -2.54   1.25  -5.56   1.64  -0.20
198208   0.59  -3.39   0.92  -7.57   2.19  -4.63   2.20  -1.57  -0.62   1.70
198209  -0.51   0.09  -0.50  -1.71  -0.40   1.53   0.19  -1.74  -1.95   0.17
198210   5.98   6.27   6.06   9.13   5.77   8.07   6.09   3.69   6.93   0.88
198211   0.96  -1.88   0.11  11.75  -1.89   4.72  -3.84  10.15   9.66  18.68
198212  11.86   2.59  12.19   9.00  12.52   6.94  12.59   9.84  11.60  13.20
198301   1.35   4.42   2.93  -6.26  14.74   0.74  -0.69  -3.44   5.87  11.18
