,Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,Mom   
0,534,-6.36,-0.65,3.97,2.14,2.14,0.21,2008,1,-7.75
1,535,-3.09,-0.66,-0.84,0.88,-0.93,0.13,2008,2,6.1
2,536,-0.93,0.56,0.3,0.79,0.5,0.17,2008,3,4.27
3,537,4.6,-1.2,-0.94,1.64,-2.47,0.18,2008,4,-0.31
4,538,1.86,3.02,-1.43,0.93,-0.06,0.18,2008,5,3.31
5,539,-8.44,1.18,-2.71,4.96,-0.55,0.17,2008,6,12.75
6,540,-0.77,3.72,5.42,-1.37,1.08,0.15,2008,7,-5.13
7,541,1.53,3.46,1.59,1.86,0.84,0.13,2008,8,-4.02
8,542,-9.24,0.25,5.91,2.41,1.78,0.15,2008,9,0.28
9,543,-17.23,-3.34,-2.3,3.04,2.05,0.08,2008,10,7.85
10,544,-7.86,-3.89,-6.31,4.53,2.75,0.03,2008,11,7.17
11,545,1.74,3.29,0.14,0.06,-1.49,0.0,2008,12,-5.09
12,546,-8.12,-2.14,-11.29,0.18,-1.17,0.0,2009,1,-2.18
13,547,-10.1,-1.32,-6.95,1.19,-1.02,0.01,2009,2,4.41
14,548,8.95,0.67,3.47,-2.52,-2.25,0.02,2009,3,-11.87
15,549,10.18,7.13,5.36,1.31,0.13,0.01,2009,4,-34.3
16,550,5.21,-2.32,0.28,-0.78,-2.17,0.0,2009,5,-12.49
17,551,0.43,2.29,-2.73,-1.41,-0.33,0.01,2009,6,5.48
18,552,7.72,2.39,4.83,-0.46,3.14,0.01,2009,7,-5.55
19,553,3.33,-0.09,7.63,-3.02,3.34,0.01,2009,8,-9.07
20,554,4.08,2.73,1.05,1.31,0.36,0.01,2009,9,-4.79
21,555,-2.59,-4.93,-4.21,4.17,-1.51,0.0,2009,10,2.61
22,556,5.56,-2.68,-0.34,1.0,0.12,0.0,2009,11,0.3
23,557,2.75,6.24,-0.17,1.02,-0.09,0.01,2009,12,3.01
24,558,-3.36,0.34,0.43,-1.27,0.46,0.0,2010,1,-5.4
25,559,3.4,1.51,3.23,-0.27,1.43,0.0,2010,2,3.74
26,560,6.31,1.85,2.21,-0.65,1.69,0.01,2010,3,3.76
27,561,2.0,4.98,2.89,0.69,1.72,0.01,2010,4,3.16
28,562,-7.89,0.04,-2.44,1.3,-0.21,0.01,2010,5,-0.25
29,563,-5.57,-2.47,-4.7,-0.16,-1.55,0.01,2010,6,-2.76
30,564,6.93,0.12,-0.31,0.24,2.01,0.01,2010,7,1.88
31,565,-4.77,-3.15,-1.9,0.53,-1.59,0.01,2010,8,-0.06
32,566,9.54,3.75,-3.16,-0.21,0.38,0.01,2010,9,1.41
33,567,3.88,0.8,-2.43,1.19,-0.26,0.01,2010,10,1.58
34,568,0.6,3.67,-0.96,0.45,1.59,0.01,2010,11,2.66
35,569,6.82,1.03,3.7,-3.44,3.16,0.01,2010,12,-3.03
36,570,1.99,-2.43,0.83,-0.76,0.83,0.01,2011,1,-0.29
37,571,3.49,1.65,1.27,-1.94,0.88,0.01,2011,2,1.99
38,572,0.46,2.62,-1.83,1.76,-0.03,0.01,2011,3,3.4
39,573,2.9,-0.55,-2.43,1.01,-0.8,0.0,2011,4,0.04
40,574,-1.27,-0.63,-2.12,2.08,-1.59,0.0,2011,5,-0.62
41,575,-1.75,0.16,-0.42,2.49,-1.53,0.0,2011,6,1.78
42,576,-2.35,-1.2,-0.9,2.68,-1.81,0.0,2011,7,0.18
43,577,-5.99,-3.2,-2.36,3.3,-0.38,0.01,2011,8,-0.28
44,578,-7.59,-3.66,-1.72,2.04,0.24,0.0,2011,9,-2.42
45,579,11.35,3.46,0.1,-2.16,-0.86,0.0,2011,10,-1.43
46,580,-0.28,-0.28,-0.46,1.86,1.49,0.0,2011,11,3.84
47,581,0.74,-0.33,1.63,0.98,2.52,0.0,2011,12,1.81
48,582,5.05,2.06,-0.97,-2.01,-1.43,0.0,2012,1,-7.91
49,583,4.42,-1.71,0.43,-0.48,-0.01,0.0,2012,2,-0.29
50,584,3.11,-0.47,1.14,-0.54,0.74,0.0,2012,3,1.3
51,585,-0.85,-0.55,-0.78,1.3,0.65,0.0,2012,4,3.75
52,586,-6.19,-0.12,-1.07,2.08,2.31,0.01,2012,5,6.49
53,587,3.89,0.84,0.62,-1.09,0.46,0.0,2012,6,-1.06
54,588,0.79,-2.78,-0.02,1.1,0.05,0.0,2012,7,3.04
55,589,2.55,0.44,1.3,-1.33,-0.84,0.01,2012,8,-2.37
56,590,2.73,0.61,1.6,-1.49,1.55,0.01,2012,9,-1.14
57,591,-1.76,-0.89,3.59,-1.34,2.5,0.01,2012,10,0.14
58,592,0.78,0.46,-0.84,0.6,0.84,0.01,2012,11,0.49
59,593,1.18,1.89,3.51,-1.85,0.91,0.01,2012,12,-2.86
60,594,5.57,0.48,0.96,-1.93,1.41,0.0,2013,1,-1.79
61,595,1.29,-0.25,0.11,-0.67,0.52,0.0,2013,2,1.29
62,596,4.03,0.85,-0.19,0.14,1.38,0.0,2013,3,1.92
63,597,1.55,-2.25,0.45,0.27,0.37,0.0,2013,4,0.22
64,598,2.8,2.06,2.63,-1.97,-0.87,0.0,2013,5,-2.02
65,599,-1.2,1.57,0.03,-0.38,0.0,0.0,2013,6,0.52
66,600,5.65,1.81,0.57,-1.35,0.51,0.0,2013,7,1.76
67,601,-2.71,-0.06,-2.69,0.66,-2.16,0.0,2013,8,0.02
68,602,3.77,2.63,-1.22,-0.58,-1.36,0.0,2013,9,3.06
69,603,4.18,-1.48,1.25,2.78,0.87,0.0,2013,10,0.08
70,604,3.13,1.41,0.32,0.14,0.04,0.0,2013,11,0.44
71,605,2.81,-0.45,-0.02,-0.46,0.09,0.0,2013,12,0.02
72,606,-3.32,0.58,-2.07,-3.88,-1.42,0.0,2014,1,1.71
73,607,4.65,0.14,-0.31,-0.23,-0.45,0.0,2014,2,2.07
74,608,0.43,-1.09,4.93,2.13,1.92,0.0,2014,3,-3.29
75,609,-0.19,-4.12,1.17,3.48,1.02,0.0,2014,4,-3.89
76,610,2.06,-1.89,-0.13,0.05,-1.0,0.0,2014,5,0.87
77,611,2.61,3.11,-0.7,-1.89,-2.0,0.0,2014,6,0.69
78,612,-2.04,-4.29,0.03,0.89,0.52,0.0,2014,7,-0.12
79,613,4.24,0.31,-0.45,-0.64,-0.7,0.0,2014,8,0.82
80,614,-1.97,-3.72,-1.34,1.3,-0.51,0.0,2014,9,0.5
81,615,2.52,3.73,-1.81,-0.57,-0.11,0.0,2014,10,-0.06
82,616,2.55,-2.28,-3.09,1.5,0.27,0.0,2014,11,0.69
83,617,-0.06,2.86,2.27,-1.22,0.96,0.0,2014,12,1.12
84,618,-3.11,-0.92,-3.58,1.61,-1.65,0.0,2015,1,3.84
85,619,6.13,0.32,-1.86,-1.12,-1.82,0.0,2015,2,-2.82
86,620,-1.12,3.07,-0.37,0.09,-0.52,0.0,2015,3,2.74
87,621,0.59,-3.09,1.82,0.06,-0.61,0.0,2015,4,-7.27
88,622,1.36,0.83,-1.14,-1.79,-0.74,0.0,2015,5,5.82
89,623,-1.53,2.9,-0.79,0.44,-1.58,0.0,2015,6,3.01
90,624,1.54,-4.55,-4.13,0.3,-2.41,0.0,2015,7,9.98
91,625,-6.04,0.25,2.77,0.68,1.19,0.0,2015,8,-2.09
92,626,-3.07,-2.79,0.56,1.77,-0.58,0.0,2015,9,5.22
93,627,7.75,-2.07,-0.46,0.88,0.52,0.0,2015,10,-3.28
94,628,0.56,3.31,-0.42,-2.75,-0.99,0.0,2015,11,2.28
95,629,-2.17,-2.99,-2.61,0.5,-0.02,0.01,2015,12,3.36
96,630,-5.77,-3.47,2.09,2.82,3.08,0.01,2016,1,1.44
97,631,-0.07,0.88,-0.57,3.25,2.02,0.02,2016,2,-4.38
98,632,6.96,1.07,1.19,0.77,-0.08,0.02,2016,3,-5.01
99,633,0.91,1.23,3.28,-2.97,1.9,0.01,2016,4,-6.02
100,634,1.78,-0.61,-1.66,-1.09,-2.48,0.01,2016,5,1.42
101,635,-0.05,0.45,-1.48,1.4,1.94,0.02,2016,6,4.13
102,636,3.95,2.48,-1.32,1.26,-1.18,0.02,2016,7,-3.34
103,637,0.49,1.68,3.18,-1.85,-0.34,0.02,2016,8,-3.49
104,638,0.25,1.85,-1.24,-2.21,0.03,0.02,2016,9,0.19
105,639,-2.02,-4.02,4.09,0.93,0.28,0.02,2016,10,0.59
106,640,4.86,7.07,8.21,-0.18,3.7,0.01,2016,11,-4.62
107,641,1.82,0.41,3.53,1.22,-0.23,0.03,2016,12,-0.26
108,642,1.94,-1.46,-2.75,-0.49,-0.99,0.04,2017,1,-0.93
109,643,3.57,-2.22,-1.67,0.47,-1.83,0.04,2017,2,-1.65
110,644,0.17,0.74,-3.35,0.61,-0.94,0.03,2017,3,-1.02
111,645,1.09,0.48,-2.13,1.9,-1.6,0.05,2017,4,0.48
112,646,1.06,-3.06,-3.78,0.95,-1.79,0.06,2017,5,1.48
113,647,0.78,2.58,1.48,-2.22,0.0,0.06,2017,6,-0.09
