,Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,Mom   
75,405,4.04,-5.7,0.07,3.26,-0.72,0.43,1997,4,4.84
76,406,6.74,4.75,-4.13,-1.02,-2.96,0.49,1997,5,-5.17
77,407,4.1,1.19,1.58,0.56,0.66,0.37,1997,6,2.6
78,408,7.33,-2.76,0.26,0.07,-2.58,0.43,1997,7,3.77
79,409,-4.15,7.61,1.18,-1.11,-0.04,0.41,1997,8,-2.56
80,410,5.35,2.49,0.37,-1.63,-0.91,0.44,1997,9,1.47
81,411,-3.8,-0.52,2.27,1.0,1.94,0.42,1997,10,-0.57
82,412,2.98,-5.11,1.2,2.81,1.84,0.39,1997,11,0.33
83,413,1.32,-2.03,3.84,0.74,1.92,0.48,1997,12,3.98
84,414,0.15,-1.36,-1.63,0.87,-0.73,0.43,1998,1,0.14
85,415,7.04,0.2,-0.85,-0.31,-2.54,0.39,1998,2,-1.12
86,416,4.76,-0.65,1.39,-0.26,-0.37,0.39,1998,3,2.15
87,417,0.73,0.0,0.94,-1.69,-0.36,0.43,1998,4,0.74
88,418,-3.07,-2.95,3.44,1.1,2.61,0.4,1998,5,1.82
89,419,3.18,-3.66,-1.96,-0.26,-2.97,0.41,1998,6,7.28
90,420,-2.46,-5.27,-1.78,1.74,0.45,0.4,1998,7,3.69
91,421,-16.08,-5.17,3.53,3.37,5.91,0.43,1998,8,1.84
92,422,6.15,-0.78,-3.42,-1.88,-2.99,0.46,1998,9,-0.81
93,423,7.13,-3.43,-2.23,0.93,0.31,0.32,1998,10,-5.37
94,424,6.1,0.75,-3.25,-0.86,-1.18,0.31,1998,11,1.2
95,425,6.16,-1.56,-4.19,-0.76,-3.39,0.38,1998,12,8.92
96,426,3.5,-0.75,-4.6,-2.77,-6.8,0.35,1999,1,3.03
97,427,-4.08,-5.22,1.92,-1.23,4.1,0.35,1999,2,-0.1
98,428,3.45,-4.23,-2.74,-4.07,-1.42,0.43,1999,3,-1.27
99,429,4.33,4.52,2.46,-2.53,0.89,0.37,1999,4,-9.04
100,430,-2.46,3.71,2.35,0.93,3.34,0.34,1999,5,-5.19
101,431,4.77,2.29,-3.19,1.13,-3.21,0.4,1999,6,5.06
102,432,-3.49,2.57,-0.44,0.36,3.22,0.38,1999,7,1.66
103,433,-1.38,-1.73,-1.87,-0.24,0.64,0.39,1999,8,3.12
104,434,-2.79,2.59,-3.49,-0.75,-1.23,0.39,1999,9,6.47
105,435,6.12,-6.91,-3.37,-1.74,-1.19,0.39,1999,10,5.5
106,436,3.37,5.8,-6.12,-4.28,-1.74,0.36,1999,11,5.64
107,437,7.72,5.39,-8.33,-7.6,-5.63,0.44,1999,12,13.22
108,438,-4.74,4.42,-1.88,-6.29,4.72,0.41,2000,1,1.92
109,439,2.45,18.28,-9.59,-18.65,-0.48,0.43,2000,2,18.2
110,440,5.2,-15.32,8.13,11.79,-1.59,0.47,2000,3,-6.83
111,441,-6.4,-5.01,7.26,7.66,5.65,0.46,2000,4,-8.39
112,442,-4.42,-3.81,4.75,4.13,1.37,0.5,2000,5,-8.98
113,443,4.64,9.92,-8.42,-8.31,-2.95,0.4,2000,6,16.6
114,444,-2.51,-1.03,8.31,5.83,2.94,0.48,2000,7,-0.05
115,445,7.03,-1.03,-1.39,-3.22,1.1,0.5,2000,8,5.73
116,446,-5.45,0.19,7.17,2.56,5.53,0.51,2000,9,1.97
117,447,-2.76,-2.65,5.71,9.61,3.8,0.56,2000,10,-4.48
118,448,-10.72,-0.58,12.3,13.07,8.43,0.51,2000,11,-2.32
119,449,1.19,3.26,7.61,1.71,4.79,0.5,2000,12,6.74
120,450,3.13,5.48,-5.07,-4.69,-5.03,0.54,2001,1,-25.3
121,451,-10.05,2.83,12.47,9.1,9.07,0.38,2001,2,12.57
122,452,-7.26,2.33,6.42,3.35,3.92,0.42,2001,3,8.55
123,453,7.94,-0.86,-4.67,-3.06,-3.2,0.39,2001,4,-7.9
124,454,0.72,3.6,3.36,0.25,1.91,0.32,2001,5,2.21
125,455,-1.94,6.57,-1.12,1.6,-1.51,0.28,2001,6,0.38
126,456,-2.13,-2.82,5.21,7.42,3.07,0.3,2001,7,5.58
127,457,-6.46,2.71,2.31,4.05,6.57,0.31,2001,8,5.53
128,458,-9.25,-5.73,1.45,4.99,3.21,0.28,2001,9,11.48
129,459,2.46,5.27,-7.65,-2.98,-4.55,0.22,2001,10,-8.47
130,460,7.54,-0.31,2.21,-3.73,-1.61,0.17,2001,11,-8.69
131,461,1.6,5.16,0.84,0.34,-0.26,0.15,2001,12,0.07
132,462,-1.44,1.26,3.44,4.69,2.84,0.14,2002,1,3.75
133,463,-2.29,-0.36,2.16,8.07,5.11,0.13,2002,2,6.82
134,464,4.24,4.25,1.06,-1.78,0.58,0.13,2002,3,-1.64
135,465,-5.2,6.72,3.88,4.56,5.38,0.15,2002,4,7.63
136,466,-1.38,-3.02,1.53,2.36,2.44,0.14,2002,5,3.16
137,467,-7.21,3.89,-0.05,3.93,2.51,0.13,2002,6,6.03
138,468,-8.18,-6.43,-3.85,3.79,-0.99,0.15,2002,7,3.77
139,469,0.5,-1.31,3.28,1.36,-1.47,0.14,2002,8,1.9
140,470,-10.35,3.08,1.47,3.29,-2.19,0.14,2002,9,9.13
141,471,7.84,-4.31,-3.95,-3.39,0.76,0.14,2002,10,-5.58
142,472,5.96,2.91,-1.23,-9.2,5.15,0.12,2002,11,-16.33
143,473,-5.76,0.62,2.14,6.29,-1.68,0.11,2002,12,9.64
144,474,-2.57,0.7,-0.83,-0.99,0.69,0.1,2003,1,1.55
145,475,-1.88,-0.93,-1.39,0.83,-0.62,0.09,2003,2,1.17
146,476,1.09,0.65,-1.93,1.87,-0.77,0.1,2003,3,1.48
147,477,8.22,1.02,1.14,-4.68,1.06,0.1,2003,4,-9.33
148,478,6.05,4.81,0.4,-7.0,2.91,0.09,2003,5,-10.7
