,Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,WML
53,59,-4.6,-1.37,1.93,4.42,-2.2,0.47,1995,6,0.52
54,60,5.9,-0.49,-2.44,-5.75,3.54,0.45,1995,7,-5.73
55,61,-3.08,2.97,-0.53,0.12,0.97,0.47,1995,8,-4.63
56,62,-1.6,-2.05,-1.94,2.49,-1.14,0.43,1995,9,1.73
57,63,-4.32,1.61,-0.66,-0.15,-0.31,0.47,1995,10,2.08
58,64,4.09,0.45,0.45,-6.02,4.23,0.42,1995,11,-1.36
59,65,4.35,1.96,2.57,-2.88,1.05,0.49,1995,12,-6.15
60,66,-1.67,3.35,2.04,-0.02,0.59,0.43,1996,1,-1.99
61,67,-1.84,-0.27,-0.3,1.69,-1.82,0.39,1996,2,-1.72
62,68,2.6,-1.0,-0.96,-2.82,1.7,0.39,1996,3,0.04
63,69,6.38,5.07,1.25,-0.05,0.47,0.46,1996,4,-2.42
64,70,-4.91,1.12,0.63,0.71,-0.23,0.42,1996,5,-1.11
65,71,-0.03,-1.31,1.19,1.88,-0.75,0.4,1996,6,0.46
66,72,-5.17,-1.06,1.03,3.86,-2.5,0.45,1996,7,-4.27
67,73,-4.72,0.6,-0.44,-1.0,0.14,0.41,1996,8,0.51
68,74,2.44,-4.68,0.43,-0.33,0.88,0.44,1996,9,-0.28
69,75,-7.28,0.58,0.45,0.7,-0.14,0.42,1996,10,1.06
70,76,0.22,-4.78,1.37,1.49,-1.45,0.41,1996,11,1.19
71,77,-7.52,-4.28,2.02,5.49,-4.5,0.46,1996,12,2.19
72,78,-11.18,0.99,1.09,5.16,-3.14,0.45,1997,1,4.09
73,79,1.46,-2.79,-0.5,-2.06,1.02,0.39,1997,2,-0.74
74,80,-4.1,-3.99,1.67,2.25,-1.17,0.43,1997,3,3.67
75,81,1.49,-5.17,-0.18,1.22,-1.43,0.43,1997,4,4.05
76,82,13.05,3.73,-4.38,-1.43,0.51,0.49,1997,5,-4.04
77,83,5.44,-3.28,-0.67,-1.96,1.86,0.37,1997,6,-2.6
78,84,-4.44,-7.49,-2.26,5.28,-6.24,0.43,1997,7,11.61
79,85,-9.83,-1.32,0.27,-1.56,3.37,0.41,1997,8,-0.75
80,86,-2.96,-11.53,-1.97,3.37,-5.77,0.44,1997,9,10.62
81,87,-8.07,8.14,-0.86,3.75,2.14,0.42,1997,10,-1.68
82,88,-8.35,-9.74,-3.2,3.14,-5.54,0.39,1997,11,11.71
83,89,-8.12,-6.55,-1.79,3.32,-5.18,0.48,1997,12,9.84
84,90,10.55,13.1,1.95,-6.26,6.81,0.43,1998,1,-19.83
85,91,0.82,4.43,1.01,-3.27,4.88,0.39,1998,2,-7.25
86,92,-6.92,-2.34,1.22,3.49,-1.31,0.39,1998,3,4.72
87,93,-2.29,-2.64,-1.83,3.11,-2.9,0.43,1998,4,4.35
88,94,-4.9,0.47,0.57,1.22,0.12,0.4,1998,5,-0.13
89,95,0.31,0.19,0.34,-0.55,-0.16,0.41,1998,6,-0.24
90,96,-1.63,0.5,-1.65,3.31,-2.37,0.4,1998,7,2.62
91,97,-9.26,1.23,-1.58,3.83,-0.77,0.43,1998,8,5.75
92,98,-3.91,-2.33,-2.4,1.69,-1.0,0.46,1998,9,2.91
93,99,16.12,-4.68,1.65,-8.09,5.28,0.32,1998,10,-6.11
94,100,3.63,2.16,2.09,-0.95,-2.75,0.31,1998,11,-8.6
95,101,2.78,-0.18,-1.98,4.94,-3.22,0.38,1998,12,6.9
96,102,0.79,-0.83,-0.42,-1.49,0.04,0.35,1999,1,-0.3
97,103,-2.6,2.9,-4.57,2.37,-2.42,0.35,1999,2,1.57
98,104,13.61,0.22,1.6,-0.15,-2.34,0.43,1999,3,-4.21
99,105,4.67,5.63,3.89,-1.23,0.77,0.37,1999,4,-2.19
100,106,-5.32,-0.38,-1.19,2.55,-0.41,0.34,1999,5,-2.71
101,107,10.47,8.51,-6.01,8.79,-10.49,0.4,1999,6,11.54
102,108,9.94,-3.54,0.54,-0.43,-1.78,0.38,1999,7,4.59
103,109,2.8,1.07,0.04,-0.82,-1.35,0.39,1999,8,7.45
104,110,6.82,-3.31,-3.89,2.26,-3.72,0.39,1999,9,8.36
105,111,6.21,-6.59,-5.71,1.93,-4.07,0.39,1999,10,6.51
106,112,7.24,-7.16,-14.25,8.56,-12.99,0.36,1999,11,14.95
107,113,3.61,-8.92,-8.24,4.49,-8.92,0.44,1999,12,7.94
108,114,-5.36,2.72,6.32,-3.52,4.63,0.41,2000,1,-6.08
109,115,-1.72,1.6,-7.86,2.39,-6.76,0.43,2000,2,14.8
110,116,6.1,1.52,6.03,-0.64,6.12,0.47,2000,3,-14.93
111,117,-9.09,-3.0,2.44,2.43,1.9,0.46,2000,4,-6.61
112,118,-7.55,6.45,10.05,-3.53,7.11,0.5,2000,5,-13.5
113,119,5.92,4.06,6.11,-0.03,2.17,0.4,2000,6,-4.92
114,120,-12.28,0.4,4.49,1.21,-1.48,0.48,2000,7,-6.74
115,121,6.46,-0.07,-3.51,-6.55,2.92,0.5,2000,8,8.66
116,122,-4.82,-1.45,6.05,-0.23,-0.36,0.51,2000,9,-1.41
117,123,-7.57,-4.06,7.96,-1.61,0.98,0.56,2000,10,-4.03
118,124,-3.03,2.85,5.81,0.92,0.2,0.51,2000,11,-0.52
119,125,-9.89,0.31,7.79,-3.18,3.18,0.5,2000,12,1.97
120,126,-0.79,0.22,-5.79,1.62,-0.2,0.54,2001,1,-5.69
121,127,-5.52,6.11,6.26,-1.85,1.46,0.38,2001,2,1.72
122,128,-4.21,1.02,0.51,2.13,-0.86,0.42,2001,3,0.01
123,129,8.7,1.31,4.71,-1.5,3.73,0.39,2001,4,1.37
124,130,-0.13,2.8,-0.79,1.06,-3.1,0.32,2001,5,2.41
125,131,-5.34,2.5,6.47,-3.39,1.41,0.28,2001,6,6.71
126,132,-8.93,0.08,6.41,-1.19,2.07,0.3,2001,7,6.06
127,133,-2.71,3.54,8.24,-4.13,4.64,0.31,2001,8,6.92
128,134,-7.69,-0.86,-0.32,1.86,-3.19,0.28,2001,9,1.4
129,135,0.8,2.16,-4.54,1.51,-2.09,0.22,2001,10,-2.24
130,136,-1.8,-3.93,-3.2,0.91,-2.51,0.17,2001,11,-5.91
131,137,-8.23,-3.26,1.64,-0.75,-0.4,0.15,2001,12,4.27
132,138,-7.82,2.29,1.53,-0.24,-0.26,0.14,2002,1,-1.45
133,139,5.08,1.11,3.07,-2.53,2.02,0.13,2002,2,-3.55
134,140,5.63,-1.04,-5.59,3.25,-2.49,0.13,2002,3,-9.85
135,141,5.21,0.68,-1.26,0.3,1.19,0.15,2002,4,0.55
136,142,7.1,2.11,2.74,-0.64,1.51,0.14,2002,5,-4.16
