,Cnsmr,Manuf,HiTec,Hlth ,Other,Year,Month
450,1.38,3.07,3.17,3.7,1.17,1964,1
451,1.7,1.82,0.6,1.65,5.38,1964,2
452,1.98,2.05,0.81,-1.94,2.34,1964,3
453,1.35,0.61,-1.0,-1.42,0.29,1964,4
454,2.07,1.69,0.86,0.52,2.38,1964,5
455,1.73,1.09,2.99,0.58,1.31,1964,6
456,3.42,2.7,-1.93,4.76,1.23,1964,7
457,0.66,-1.18,-2.03,-4.22,-3.11,1964,8
458,3.51,3.62,-0.17,2.74,3.99,1964,9
459,0.52,1.35,-0.93,2.86,1.75,1964,10
460,0.45,0.81,-1.43,2.17,-1.65,1964,11
461,0.99,-0.3,1.86,4.38,-1.78,1964,12
462,4.27,3.53,3.11,7.66,4.72,1965,1
463,0.55,0.26,1.38,2.42,2.61,1965,2
464,0.17,-1.57,-1.18,-0.92,-0.37,1965,3
465,6.04,2.37,3.51,2.97,2.3,1965,4
466,-1.73,-0.22,1.79,-1.25,-1.49,1965,5
467,-6.18,-4.45,-4.82,-5.31,-6.99,1965,6
468,1.17,1.77,1.28,3.95,3.34,1965,7
469,3.34,2.37,3.26,6.29,5.11,1965,8
470,3.28,3.48,2.92,2.24,1.76,1965,9
471,3.78,2.92,1.07,3.23,4.13,1965,10
472,-1.25,0.7,-1.03,3.79,4.08,1965,11
473,1.38,1.62,-1.17,3.84,3.29,1965,12
474,-0.11,1.21,-0.02,2.74,5.21,1966,1
475,-1.26,-2.18,2.7,-1.55,2.07,1966,2
476,-2.68,-1.6,-2.87,-1.6,-2.57,1966,3
477,0.85,2.62,4.52,-0.01,3.03,1966,4
478,-6.14,-4.58,-4.61,-5.27,-7.79,1966,5
479,-2.01,-1.5,0.16,0.99,0.65,1966,6
480,-2.01,-0.77,-1.45,-1.71,-1.94,1966,7
481,-7.18,-7.56,-5.29,-8.09,-11.86,1966,8
482,-1.37,0.07,-1.27,-1.15,-1.91,1966,9
483,1.28,5.75,4.54,4.87,3.02,1966,10
484,-0.65,0.74,4.01,6.9,7.99,1966,11
485,-2.03,0.91,1.62,-0.18,2.15,1966,12
486,10.98,7.25,8.34,6.45,11.99,1967,1
487,0.92,0.28,4.29,1.4,-0.32,1967,2
488,3.71,4.36,4.35,7.86,4.42,1967,3
489,8.44,2.81,4.43,4.46,2.15,1967,4
490,-5.15,-3.4,-4.94,-5.28,-2.08,1967,5
491,2.45,1.54,4.84,5.41,3.48,1967,6
492,8.21,5.09,-0.38,3.79,7.89,1967,7
493,-0.08,-0.74,-1.1,0.65,-0.28,1967,8
494,3.75,2.88,5.62,2.9,1.3,1967,9
495,-2.92,-3.64,1.79,-5.02,-5.13,1967,10
496,-0.03,1.1,0.96,1.33,-0.43,1967,11
497,2.25,4.26,1.44,1.62,5.54,1967,12
