,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month
305,0.42,0.71,-0.57,0.79,1.09,0.01,2015,12
306,-7.58,0.66,-1.27,2.79,1.8,0.01,2016,1
307,-1.94,1.85,-4.95,0.91,1.52,0.02,2016,2
308,5.06,3.5,-2.97,0.39,-2.64,0.02,2016,3
309,5.14,-0.8,-0.23,-1.65,-0.27,0.01,2016,4
310,-1.04,0.7,-0.81,-0.21,-1.28,0.01,2016,5
311,-2.47,2.24,-3.55,2.19,0.89,0.02,2016,6
312,6.72,-0.97,6.44,-2.89,-1.05,0.02,2016,7
313,-1.17,-2.05,4.6,-0.54,-1.73,0.02,2016,8
314,2.67,3.95,-3.51,0.99,1.17,0.02,2016,9
315,1.6,0.55,3.58,-0.42,-0.91,0.02,2016,10
316,-3.88,-1.24,6.31,-2.56,0.51,0.01,2016,11
317,1.35,0.58,1.34,0.48,-0.85,0.03,2016,12
318,3.83,1.98,-0.53,-0.34,-0.41,0.04,2017,1
319,1.13,2.65,0.8,-0.78,0.59,0.04,2017,2
320,0.84,1.23,-2.77,1.72,0.0,0.03,2017,3
321,1.25,-1.37,0.33,0.22,0.45,0.05,2017,4
322,2.95,2.23,-6.19,2.93,-0.78,0.06,2017,5
323,1.17,1.45,1.24,-2.07,0.37,0.06,2017,6
324,2.33,1.86,0.51,0.99,1.52,0.07,2017,7
325,0.3,2.29,0.09,0.53,0.15,0.09,2017,8
326,1.71,0.0,2.38,-0.61,1.35,0.09,2017,9
327,4.12,-1.23,-0.59,0.26,0.42,0.09,2017,10
328,2.6,0.1,-2.28,1.01,-2.47,0.08,2017,11
329,1.29,1.94,1.96,-1.3,1.23,0.09,2017,12
330,4.41,1.91,-2.86,0.3,-0.28,0.11,2018,1
331,-1.44,0.72,-1.82,0.87,-1.13,0.11,2018,2
332,-1.49,-0.1,-3.7,1.81,-3.49,0.12,2018,3
333,0.28,-2.19,4.4,-1.58,1.36,0.14,2018,4
334,-1.32,1.66,-5.43,3.02,-2.92,0.14,2018,5
335,-2.56,-0.69,-0.66,1.65,-1.13,0.14,2018,6
336,-0.13,-1.19,2.28,-0.46,0.82,0.16,2018,7
337,-0.43,-0.12,-2.93,1.03,-2.25,0.16,2018,8
338,2.78,-2.17,0.9,-0.71,0.9,0.15,2018,9
339,-8.82,-0.31,3.9,-1.77,3.07,0.19,2018,10
340,0.83,0.74,-3.65,1.2,-2.07,0.18,2018,11
341,-7.3,-4.05,4.29,-0.27,2.96,0.19,2018,12
342,5.21,-1.17,-1.5,1.01,-0.72,0.21,2019,1
