,Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,WML
0,210,-4.9,-0.51,3.85,-3.38,2.46,0.21,2008,1,-1.82
1,211,1.01,1.84,-0.64,-0.63,-1.51,0.13,2008,2,2.16
2,212,-3.71,3.06,1.7,-1.6,4.36,0.17,2008,3,3.03
3,213,6.22,-6.46,-1.29,0.51,-1.41,0.18,2008,4,-8.58
4,214,2.03,1.64,1.18,2.09,0.54,0.18,2008,5,-3.55
5,215,-6.61,1.62,3.68,-1.85,4.02,0.17,2008,6,4.67
6,216,-3.12,-1.32,2.31,-1.5,5.77,0.15,2008,7,0.85
7,217,-4.36,-2.58,1.13,-0.38,1.89,0.13,2008,8,3.39
8,218,-10.5,1.49,5.22,-3.84,5.01,0.15,2008,9,0.88
9,219,-13.55,4.67,4.53,-2.59,7.54,0.08,2008,10,8.45
10,220,0.05,4.2,-0.03,0.29,3.4,0.03,2008,11,5.78
11,221,8.57,0.8,0.26,-0.77,1.57,0.0,2008,12,1.23
12,222,-6.5,3.24,-0.1,-0.84,-0.32,0.0,2009,1,-1.05
13,223,-11.93,-1.08,0.6,0.97,-0.75,0.01,2009,2,-0.56
14,224,1.3,0.55,0.72,-1.69,-4.22,0.02,2009,3,-10.54
15,225,8.05,-4.46,-1.39,1.91,-5.78,0.01,2009,4,-15.6
16,226,10.89,2.14,-3.44,1.18,-4.59,0.0,2009,5,-8.94
17,227,2.85,4.92,0.05,0.0,-1.17,0.01,2009,6,-3.62
18,228,4.06,-1.3,0.61,3.53,-0.84,0.01,2009,7,-1.42
19,229,3.4,3.13,-0.39,0.13,-0.77,0.01,2009,8,-0.65
20,230,-0.84,1.83,-4.82,2.76,-1.99,0.01,2009,9,3.27
21,231,-2.29,-0.52,1.23,1.76,-1.47,0.0,2009,10,-0.72
22,232,-2.0,-3.6,-4.0,-0.8,-0.2,0.0,2009,11,-3.52
23,233,0.22,-2.66,6.21,3.44,1.41,0.01,2009,12,6.29
