,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month
366,2.87,-0.06,1.15,-1.66,1.43,0.25,1994,1
367,-2.55,2.67,-1.54,2.14,-1.0,0.21,1994,2
368,-4.78,-1.04,1.6,0.69,1.28,0.27,1994,3
369,0.68,-1.01,1.66,1.07,1.11,0.27,1994,4
370,0.58,-2.56,0.67,0.6,0.68,0.31,1994,5
371,-3.03,-0.5,1.67,1.21,1.47,0.31,1994,6
372,2.82,-1.85,0.58,-0.65,0.14,0.28,1994,7
373,4.01,1.37,-2.51,0.95,-1.47,0.37,1994,8
374,-2.31,2.8,-1.89,0.52,0.93,0.37,1994,9
375,1.34,-2.3,-1.62,0.23,-0.68,0.38,1994,10
376,-4.04,0.07,-0.7,0.42,-0.5,0.37,1994,11
377,0.86,0.0,-0.13,0.37,0.38,0.44,1994,12
378,1.8,-3.06,2.57,0.17,-0.75,0.42,1995,1
379,3.63,-0.54,1.08,0.59,-0.33,0.4,1995,2
380,2.19,-0.51,-2.15,-0.17,0.22,0.46,1995,3
381,2.11,-0.22,1.71,0.41,0.9,0.44,1995,4
382,2.9,-2.19,2.29,0.39,0.04,0.54,1995,5
383,2.72,3.06,-2.54,-0.33,-2.44,0.47,1995,6
384,3.72,2.09,-1.62,0.3,-1.65,0.45,1995,7
385,0.55,1.75,2.79,-1.24,1.62,0.47,1995,8
386,3.35,-1.88,-0.04,1.03,0.36,0.43,1995,9
387,-1.52,-4.04,-0.5,1.91,-0.05,0.47,1995,10
388,3.96,-1.07,0.51,-0.62,1.12,0.42,1995,11
389,1.03,0.72,0.22,-1.37,3.1,0.49,1995,12
390,2.26,-2.56,0.38,0.18,2.31,0.43,1996,1
391,1.33,1.77,-1.08,0.24,-1.9,0.39,1996,2
392,0.73,1.61,0.35,1.42,-0.95,0.39,1996,3
393,2.06,4.71,-4.02,-0.14,-2.11,0.46,1996,4
394,2.36,3.21,-0.83,0.12,-0.3,0.42,1996,5
395,-1.14,-3.65,2.35,3.51,1.22,0.4,1996,6
396,-5.97,-3.81,5.14,2.95,2.6,0.45,1996,7
397,2.77,2.57,-0.74,-0.37,-2.42,0.41,1996,8
398,5.01,-1.39,-2.72,1.27,-2.22,0.44,1996,9
399,0.86,-3.77,4.94,1.4,3.25,0.42,1996,10
400,6.25,-3.8,1.39,2.12,-0.79,0.41,1996,11
401,-1.7,3.25,1.31,0.37,1.49,0.46,1996,12
402,4.99,-1.82,-1.42,1.19,-0.02,0.45,1997,1
403,-0.49,-2.59,5.67,0.67,3.47,0.39,1997,2
404,-5.03,-0.43,3.39,0.5,1.66,0.43,1997,3
