This file was created using the 202403 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199111   ,3.92  ,-0.26   ,0.79   ,1.35   ,3.68   ,0.84   ,2.42   ,0.05   ,3.50   ,0.47   ,3.38   ,4.78  ,-0.18   ,5.89   ,1.98   ,4.46   ,2.55   ,0.85   ,0.45   ,0.31   ,2.03  ,-1.48  ,-2.67   ,0.76  ,-0.64
199112  ,-5.37  ,-2.12   ,0.17  ,-1.52  ,-1.94   ,2.24  ,-0.98  ,-0.32   ,0.11  ,-1.93   ,2.31   ,1.57  ,-1.30   ,0.30  ,-0.87   ,2.20   ,3.33   ,2.49   ,2.56   ,0.65   ,2.46   ,1.57   ,3.04   ,1.64   ,1.47
199201   ,5.15  ,-0.47   ,1.17  ,-0.34   ,2.43   ,2.03   ,1.69   ,2.74  ,-1.05  ,-0.38   ,0.79   ,4.53   ,1.13   ,1.86   ,5.94   ,0.81  ,-1.07   ,0.36   ,2.05   ,2.35   ,1.24   ,1.33   ,0.41   ,0.99   ,5.34
199202  ,12.16   ,1.19   ,3.76   ,5.97   ,3.97  ,-1.20   ,6.33   ,1.95   ,1.38   ,1.95  ,-1.39   ,2.12   ,2.76   ,1.35  ,-0.77   ,1.20   ,3.08  ,-1.89   ,0.90   ,1.23   ,2.45   ,0.58   ,1.32   ,3.59   ,7.46
199203   ,1.64  ,-1.92   ,2.64   ,0.05   ,1.91  ,-2.44  ,-2.93  ,-1.98  ,-4.59  ,-1.09   ,1.68   ,2.10   ,1.40  ,-1.85  ,-1.00   ,1.29   ,1.24  ,-0.31   ,0.90   ,0.07   ,1.04  ,-0.59   ,0.56  ,-0.12  ,-1.19
199204  ,-0.10   ,2.11   ,0.84   ,1.92  ,-1.95  ,-4.75   ,2.71   ,4.94   ,3.85   ,1.06   ,2.95   ,3.67   ,5.88   ,7.43  ,-0.53   ,2.15   ,8.25   ,1.08   ,3.37   ,3.83   ,6.83   ,6.76   ,4.07   ,7.32   ,6.58
199205   ,7.89   ,2.84   ,5.29   ,9.06   ,4.91   ,7.43   ,3.72   ,2.95   ,5.61   ,9.23   ,6.71   ,4.72   ,8.75  ,11.07  ,11.59   ,5.53   ,8.35   ,4.89   ,9.33  ,14.42   ,4.82   ,7.80   ,4.17  ,12.63  ,14.46
199206  ,-0.50   ,0.43   ,0.65  ,-1.53  ,-2.87  ,-0.99  ,-1.90   ,0.24   ,0.64  ,-0.29  ,-3.26   ,0.42   ,0.18  ,-0.28  ,-0.10   ,2.76   ,2.70   ,0.80  ,-1.99  ,-0.49  ,-2.99  ,-0.65  ,-0.14  ,-1.84   ,0.14
199207   ,1.52   ,0.16   ,0.70   ,3.08   ,0.32  ,-5.07  ,-1.22   ,0.77  ,-3.51  ,-4.76   ,2.23  ,-2.37  ,-3.92  ,-1.19  ,-4.80  ,-2.08  ,-5.89  ,-2.53   ,0.22  ,-6.81  ,-2.21  ,-4.70  ,-2.75  ,-6.66   ,0.22
199208  ,-9.90  ,-5.02  ,-3.15  ,-2.89  ,-4.32  ,-7.14  ,-6.28  ,-7.50  ,-6.16  ,-5.93  ,-3.09  ,-4.18  ,-7.52  ,-5.60  ,-5.74  ,-6.80  ,-7.04  ,-7.05  ,-5.39  ,-6.88  ,-4.77  ,-7.53  ,-5.86  ,-7.44  ,-3.62
199209  ,-2.15  ,-1.09  ,-1.87   ,0.26  ,-1.03  ,-0.18  ,-4.13  ,-2.66  ,-2.76   ,2.66   ,2.58  ,-2.94  ,-2.45  ,-0.56  ,-0.08  ,-0.07  ,-3.87  ,-2.87  ,-1.32   ,0.54  ,-3.93  ,-3.38  ,-2.48  ,-1.84   ,0.51
199210  ,-2.98  ,-1.01  ,-2.12  ,-0.25  ,-0.75   ,2.86  ,-0.36   ,1.06   ,2.69   ,1.75  ,10.68   ,2.48   ,1.20   ,1.53   ,1.84   ,3.30   ,0.28  ,-5.22   ,1.65   ,5.91   ,5.03   ,0.48   ,0.43   ,4.17   ,9.33
199211  ,-2.53   ,1.76   ,2.06   ,0.55   ,1.20   ,4.15  ,-1.81   ,2.94  ,-0.58   ,2.45   ,1.02  ,-0.94  ,-1.07   ,3.63   ,0.97   ,1.34   ,2.15  ,-1.85  ,-1.01   ,0.35  ,-0.86  ,-4.21  ,-2.02  ,-5.01  ,-2.71
199212   ,4.67   ,2.38   ,2.93  ,11.39   ,1.99   ,3.33   ,2.29  ,-0.60   ,2.31  ,-0.54   ,1.74   ,1.81   ,2.14   ,1.02  ,-1.09   ,0.20   ,1.65   ,2.52   ,0.64  ,-4.55   ,4.35   ,0.97   ,2.92  ,-3.41  ,-4.22
199301   ,6.35   ,0.81   ,2.81   ,1.76   ,2.52   ,1.87   ,2.78   ,1.90   ,1.73   ,3.24   ,0.62   ,0.90   ,0.50   ,1.18   ,1.59   ,2.15   ,1.48   ,2.43   ,2.41   ,3.22   ,2.22  ,-0.87  ,-0.45   ,1.11   ,3.35
199302   ,5.24   ,5.37   ,6.44   ,7.42   ,9.33   ,3.02   ,8.61   ,8.40   ,7.05   ,6.07  ,11.41   ,7.21   ,8.71   ,5.05   ,6.89   ,7.40   ,3.79   ,3.20   ,9.37   ,5.50   ,7.33   ,8.77   ,8.60  ,12.09   ,9.53
199303  ,13.29   ,5.98   ,4.57  ,10.12   ,7.75   ,4.54   ,9.25   ,4.15   ,9.46   ,4.90  ,18.82  ,-0.44   ,8.35   ,3.81   ,4.61   ,5.13   ,2.25   ,8.10   ,5.77   ,1.64   ,3.22   ,1.36   ,2.93   ,0.47   ,0.94
199304  ,17.66   ,7.95   ,6.60  ,10.32   ,8.44  ,12.84   ,8.70   ,9.05  ,16.37   ,7.86   ,2.79   ,2.84  ,10.69  ,12.81   ,7.33   ,8.29   ,7.84   ,4.43   ,7.02  ,10.09   ,3.21   ,4.80   ,4.76   ,8.20   ,6.40
199305   ,6.12   ,9.58   ,8.53   ,9.04  ,11.22  ,10.63   ,9.85   ,6.75   ,4.98   ,3.35   ,4.06   ,3.76   ,6.63   ,6.35   ,9.03   ,7.12   ,0.40   ,8.12   ,7.19   ,7.66   ,4.26   ,3.96   ,3.17   ,6.62   ,6.39
199306  ,-6.26  ,-0.95  ,-4.07   ,5.16   ,3.86  ,-4.32   ,3.18  ,-4.03  ,-1.93   ,6.92  ,-3.30  ,-1.63  ,-0.72  ,-3.64  ,-3.11  ,-3.40  ,-2.26  ,-3.00  ,-2.53  ,-2.38  ,-2.18  ,-3.57  ,-3.38  ,-3.73  ,-2.84
199307  ,11.24   ,6.56   ,4.50  ,14.31   ,8.45   ,2.75   ,2.41   ,6.74  ,-3.45  ,-2.73   ,1.47   ,3.41   ,3.53  ,-0.38  ,-5.76   ,5.05   ,0.40   ,2.52   ,5.28  ,-4.31   ,2.95   ,0.48   ,2.74   ,5.21   ,1.29
199308   ,3.13   ,3.21   ,4.50   ,4.28   ,7.95   ,6.30   ,4.66   ,4.73  ,-0.06   ,9.16   ,6.24   ,1.09   ,7.46   ,7.60   ,2.99   ,3.09   ,7.60   ,3.91   ,8.49   ,7.43   ,7.20   ,7.45   ,5.05   ,7.49   ,7.54
199309  ,-8.82  ,-7.06  ,-6.23  ,-3.01  ,-1.26  ,-0.28   ,4.02  ,-1.74  ,-2.31  ,-3.25  ,-1.02  ,-2.52   ,2.11  ,-3.73  ,-2.81  ,-2.58  ,-3.50  ,-1.00  ,-0.90  ,-0.35   ,0.21   ,1.08  ,-0.47   ,2.52   ,2.10
199310  ,11.12   ,9.91  ,11.72   ,8.41  ,11.75  ,10.85   ,9.80   ,7.55   ,8.94  ,14.70  ,19.12   ,7.94  ,14.29  ,10.69  ,12.91  ,11.83  ,11.70  ,15.75  ,11.50  ,17.16  ,16.76  ,14.77  ,17.01  ,16.38  ,22.75
199311  ,-5.99  ,-1.21   ,0.30   ,0.69   ,1.59   ,0.00  ,-1.50  ,-2.36   ,3.22   ,1.07  ,-0.62  ,-1.68   ,0.16  ,-1.88   ,1.78  ,-2.41  ,-4.06  ,-2.04   ,1.61   ,0.24  ,-3.76  ,-3.53   ,0.09  ,-3.76  ,-1.47
199312  ,11.69  ,16.92  ,15.50  ,19.16  ,14.78  ,13.03  ,15.90  ,12.70  ,14.64  ,16.21  ,17.30  ,17.76  ,16.89  ,19.47  ,19.54   ,7.91   ,9.03  ,12.72  ,16.08  ,23.59  ,17.65  ,24.80  ,23.89  ,18.20  ,34.82
199401  ,18.38   ,9.38  ,11.80  ,10.52  ,15.68  ,-1.99   ,2.49   ,1.99  ,-1.05   ,5.15  ,-4.68   ,4.55   ,3.72   ,0.09   ,4.64   ,0.70   ,0.83  ,-0.04   ,2.95   ,2.80  ,-1.07  ,-0.50   ,4.07   ,1.43   ,0.00
199402   ,3.67  ,-1.69  ,-2.38  ,-0.37   ,1.40  ,-4.81   ,0.26  ,-1.23  ,-1.71   ,1.40  ,-5.20  ,-3.17  ,-2.22  ,-2.27  ,-3.59  ,-3.29  ,-2.55  ,-5.04  ,-5.01  ,-3.34  ,-8.01  ,-6.30  ,-7.97  ,-6.75  ,-8.07
199403 ,-13.20  ,-8.15  ,-8.15  ,-9.10  ,-9.89  ,-8.49 ,-10.34  ,-5.22  ,-8.84 ,-13.36 ,-12.22  ,-7.53 ,-10.40 ,-10.13  ,-8.56  ,-6.23  ,-8.51  ,-9.62  ,-8.51 ,-11.83 ,-11.44  ,-9.21  ,-7.39  ,-9.14 ,-11.18
199404  ,-3.99  ,-2.13  ,-2.49   ,1.93   ,1.51   ,1.10   ,4.50  ,-0.01   ,0.34   ,4.40   ,0.73   ,1.99   ,4.76   ,4.85   ,0.28  ,-1.46   ,3.64   ,0.80   ,3.85   ,2.44   ,5.33   ,2.83  ,-0.52   ,3.12   ,1.48
199405  ,-0.93  ,-0.58  ,-1.18   ,4.02   ,1.48  ,-0.59   ,0.44   ,1.34   ,3.13   ,0.96  ,-1.70   ,1.98   ,1.41   ,0.14   ,3.26   ,2.14   ,1.55   ,0.94   ,3.76   ,3.49   ,6.40   ,4.63   ,6.76   ,3.39   ,5.63
