
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198005   3.82  -1.94   8.21   0.02  10.73  -5.50   4.34  -0.46   7.98  -1.26
198006   4.28   5.24   4.76  10.95   4.26  -0.26  -1.19   6.58   6.78  -2.09
198007  11.15   2.69  15.76   7.21  15.89  -0.49   5.87   4.00  16.00   4.74
198008   7.86  10.99   6.11  11.85   6.84   6.35  13.20   9.76  10.06   9.47
198009  12.98  12.86  13.40  21.24  12.73   9.20   9.76  16.77  13.12   5.64
198010  24.12  41.10  15.17  54.03  14.91  18.49  16.17  37.69  22.93  10.71
198011  -8.03  -9.71  -7.15 -10.77  -5.67  -7.21  -6.88  -3.18  -9.22  -7.78
198012   0.10  -2.13   2.15  -1.05   3.12 -12.79   1.26  -6.14   3.10   0.07
198101  15.26   4.08  19.74  19.78  23.83  -4.79   5.57  16.59  28.37  -4.50
198102   6.71   6.09   8.29   2.71  10.01  14.13   6.96   0.75   8.61   7.10
198103   2.81  -1.61  -2.17  14.65  -2.13  -3.87  -4.52   1.81   1.06  -3.31
198104   5.02   2.48   1.58  11.18   1.36  -0.87  -1.29   4.09   6.23  -0.03
198105   0.44  -8.86   2.27   6.74   2.41  -8.88   3.24  -7.20   1.86  -6.82
198106 -20.24 -17.08 -21.51 -21.86 -22.05 -19.65 -23.18 -20.64 -21.01 -14.75
198107 -10.46 -16.77 -10.64  -6.78 -12.61 -18.50 -10.10 -14.81 -11.02 -14.14
198108  11.52   0.32  12.03  15.59  14.00   1.54   4.94   7.20  15.42  -0.80
198109 -12.66 -10.01 -11.28 -15.92 -12.46  -8.25 -11.98 -11.71 -12.03  -7.60
198110  -8.33  -4.84  -6.70 -11.19  -5.30  -3.72  -0.23  -7.00  -9.02  -3.42
198111  10.78   6.52  14.02   7.82  15.85   4.99   7.48   7.45  13.84   5.97
198112  -3.78  -0.86  -2.60  -5.35  -2.04   1.41  -8.46  -4.81  -1.76  -2.36
198201  -4.48  -0.68  -6.57  -3.95  -7.74   6.91  -2.54  -3.20  -7.14   2.34
198202   2.85   0.22   2.99   4.29   4.69   0.07   3.69   8.99   2.88  -0.68
198203  -3.38  -2.51  -3.74  -2.17  -5.39  -3.58  -2.27  -6.12  -3.15  -3.65
198204  -3.26  -0.14  -5.36  -0.85  -5.05   1.59  -3.91  -1.49  -4.03  -1.92
198205  -8.72  -6.26  -8.98  -8.58 -10.36  -5.90  -7.28  -9.39  -9.64  -6.13
198206 -14.38 -21.15 -13.15 -10.57 -15.06 -13.49 -15.95 -12.37 -13.53 -17.37
198207   7.42  10.06   7.42   3.87  10.09   7.90   5.50   6.82   7.30   8.10
198208   1.82   0.06   2.74   1.15   1.80  -1.75   7.20   2.05   0.97   0.89
198209  -3.33  -0.88  -3.32  -5.94  -2.46   3.09  -4.24  -9.35  -3.48  -0.26
198210  -2.53   2.23  -3.49  -5.05  -1.86   1.08  -1.66  -4.12  -3.01   0.03
198211   6.74  19.65   2.59   4.71   1.54  20.73   5.72   5.93   2.49  19.31
198212   2.82   3.58   1.99   2.01   1.19   8.49   3.72   0.99   0.78   8.00
198301  10.32  20.00   6.73   6.94   8.35  13.91   4.84  15.79   6.11  18.97
198302  10.27   7.87   9.77  11.34   9.00  10.94  12.68  16.72   8.43   5.91
198303   3.98  10.55   1.69   3.31   2.06  12.41  -0.93  12.99   0.08   7.01
198304  -7.43 -10.86  -3.27  -9.80  -3.69  -9.45  -6.15  -7.63  -5.08 -11.88
198305  -6.15  -7.08  -5.05  -6.27  -6.99  -5.59  -2.56  -4.61  -7.02  -6.96
198306   0.11  -2.08   0.14  -0.54  -2.27  -4.02   6.89   0.59  -1.75   0.38
198307   0.31   0.72  -1.50  -0.18  -1.21   0.95  -1.09   4.74  -2.20   2.21
198308  -0.75  -3.52   0.98  -2.57   1.14  -4.58  -2.64   2.07   0.26  -3.96
198309  -1.55  -1.40  -0.35  -2.77   0.58  -0.67  -3.43  -3.55   0.16  -3.06
198310  -5.38  -5.70  -3.97  -6.33  -4.79  -5.22  -4.38  -5.06  -4.71  -7.40
198311   0.74   5.67  -2.91   2.28  -3.31   6.36  -2.14   5.81  -3.19   7.44
198312  -0.86   0.21  -1.68  -0.43  -2.25   0.49   0.91   3.96  -2.37  -1.25
198401  17.07  18.75  14.97  29.11  13.78  16.98   9.89  15.78  17.09  10.73
198402   1.28   2.71   2.52  -0.95   3.01   5.14  -1.32   5.29   1.64  -0.17
198403   0.51  -1.09  -1.01   0.93   0.50   3.99  -2.38   2.01  -1.19   1.22
198404  -5.29  -4.62  -5.04  -5.15  -4.84  -4.29  -5.11  -4.35  -6.26  -4.62
198405  -4.95  -5.41  -6.16  -4.92  -6.85  -5.66  -7.42  -4.22  -6.11  -1.12
198406   0.96   2.13   0.92   2.26   0.34   2.77  -0.13   2.93   0.15  -0.39
198407  -4.30  -3.84  -4.39  -5.00  -5.39  -3.60  -4.87  -2.27  -6.03  -4.81
198408   6.45   8.54   4.56   6.03   5.56   9.99   1.56   8.77   3.74  12.10
198409  -8.77  -8.99  -8.08 -10.19  -9.12  -8.32  -4.35  -8.36  -8.95  -9.40
198410  -1.04  -2.50   0.62  -2.99  -2.72  -3.33   2.81  -1.36  -0.12  -1.30
198411   0.08   4.19  -2.06  -0.92  -0.11   4.02  -0.91   1.14  -2.87   5.20
198412   7.01   7.86   5.63   8.40   6.80   8.51   3.94   8.03   7.06   6.24
198501  13.36  13.02  13.32  12.96  14.43  12.93  13.23  15.13  13.84  12.19
198502   0.01  -1.36  -0.44   0.34  -0.53   0.59   2.30  -0.76  -0.96   4.73
198503   1.97  -0.44   2.72  -2.62   4.33   3.60   2.57  -0.49   2.60   2.61
198504   3.50   1.45   4.81   2.50   3.76   3.55   6.59   4.60   4.94   6.32
198505  10.30  14.98   8.16  11.83   7.79  12.72  11.56  14.16   8.18  10.25
198506  10.06   7.82   7.50   4.53  10.74  12.89   8.85   5.87  11.26   4.53
198507  11.28   9.95  13.17   8.46  14.38   9.95   6.83   6.91  14.86   8.22
198508   6.34   6.72   7.03   5.99   6.54   6.13   7.09   7.35   6.95  11.11
198509  11.50   9.23  12.01  10.89  12.66  10.72  11.16   8.36  13.35  11.21
198510   3.79   4.20   5.73   3.04   6.57   2.56   1.37   3.53   5.79   3.16
198511  11.18   4.62  15.97   7.54  15.53   7.57  10.69   8.10  15.55   5.24
198512   6.90   5.43   6.93   1.85   7.91  10.58   0.78   2.75   6.23   6.61
198601   7.66   4.65   7.31   6.22   7.78   4.35   2.22   5.79   9.15   5.47
198602  29.49  28.94  26.44  29.62  21.32  37.10  23.68  26.31  24.66  31.55
198603  21.96  21.53  23.77  24.35  22.99  21.57  11.42  18.22  24.64  19.40
198604  12.70   3.21  19.30  11.52  18.99   7.09  11.72  10.86  21.78   6.93
198605  -1.52  -4.76   1.79  -6.55   3.43  -7.90   2.93  -5.50   3.27 -11.43
198606 -10.46  -8.98 -13.02  -8.87 -12.61  -9.43 -11.64  -7.61 -13.73  -0.74
198607  18.17   6.70  19.77  13.04  20.78  14.85   8.17   8.55  23.79  19.17
198608  12.72  11.69  15.83   8.13  14.41  11.62  11.84   9.80  14.90   6.11
198609  -8.54  -7.17  -9.71  -6.79  -8.96  -9.95 -11.59  -8.01  -9.19  -3.47
198610   3.53  -1.07   9.68  -2.78  11.64  -2.24  -4.56  -3.74  11.56   7.78
198611  -1.75  -2.88  -1.25  -1.93  -0.09  -4.93  -0.66  -2.20  -0.78   5.65
198612   0.73  -1.36   0.70  -2.34   0.22   0.70   0.53   0.27   0.17  -3.28
198701   3.33   3.21   3.70   1.22   4.95   3.73   0.60   2.70   3.56   6.98
198702  -4.12  -5.06  -4.10  -6.46  -3.04  -4.25  -4.16  -3.78  -4.50  -2.33
198703   4.83   2.42   5.65   3.81   5.18   1.32   9.65   4.33   5.07   3.48
198704   9.05   8.47   9.12  10.28   7.57   9.84  10.54   8.70   8.48  14.25
198705 -11.85 -13.19 -11.09 -11.49 -10.67 -12.99 -14.90 -13.49 -10.98 -11.83
198706  -1.29  -3.69  -0.24  -0.06  -0.81  -2.16  -1.94  -3.01  -0.67  -1.63
198707  -1.47  -4.67  -1.48  -1.88  -1.59  -4.26  -0.32  -2.85  -1.05  -1.63
198708  -6.61  -4.18  -7.76  -8.03  -6.76  -6.94  -5.88  -2.80  -7.29 -11.69
198709   1.97  -2.28   3.50   3.18   2.34   2.56   1.11   0.06   2.67   2.42
198710 -12.28  -5.91 -12.70 -15.05 -10.60 -10.03 -17.01  -8.05 -12.46 -11.16
198711   3.00   3.21   3.43   2.60   4.34   5.69  -1.52   1.93   3.46   7.04
198712  -3.89  -3.84  -3.14  -3.42  -3.42  -4.43  -2.72  -3.38  -3.54  -6.91
198801 -10.21 -11.33  -9.95 -10.69 -10.29  -9.93  -9.43 -10.78  -9.44 -12.33
198802   7.32  11.76   5.32   9.19   4.00  14.72   9.18  14.42   4.85   7.64
198803   3.88   0.64   3.61   4.29   3.17   5.07   4.03   0.21   3.60   2.25
198804  -2.47   0.09  -3.18  -2.93  -3.10   0.01  -2.65  -0.75  -3.15  -4.91
198805 -11.03 -11.47 -11.24 -12.10 -11.02  -8.36 -12.40 -11.23 -10.93  -7.90
198806   5.72   6.06   5.04   5.12   4.70   5.64   8.83   7.03   4.69   7.12
198807   2.59   9.36   1.03   2.66   0.66   7.72   5.31   9.21   0.53  -1.37
198808  -2.95  -5.53  -2.59  -3.36  -1.04  -7.14  -3.62  -4.89  -1.78  -2.51
198809   6.69  10.42   6.62   6.19   6.62   9.81   5.04   9.55   6.35   9.58
198810  12.22  12.46  11.88  14.06  10.58  11.60  13.15  11.91  11.41  15.83
198811   2.91   4.15   3.26   3.47   4.72   0.76   2.36   3.93   3.67   6.16
198812  -0.42   0.99  -1.00   1.28  -0.87  -2.27  -1.86   0.00  -0.83  13.55
