
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198004  15.70   2.69  18.99   2.69  18.76 -99.99 -99.99   3.17  20.47   5.08
198005  13.13   1.18  16.05   1.18  15.89 -99.99 -99.99   3.39  17.11   0.33
198006  -0.96  -3.06  -1.60  -3.06  -1.42 -99.99 -99.99   2.62  -1.34  -2.73
198007  -3.38   0.03  -3.84   0.03  -4.14 -99.99 -99.99  -0.05  -3.86  -6.58
198008  -4.00   0.35  -5.47   0.35  -5.30 -99.99 -99.99   2.69  -5.94  -2.15
198009  10.95   2.22  13.88   2.22  13.31 -99.99 -99.99   0.82  14.95  -0.44
198010  -2.62  -8.05  -2.49  -8.05  -2.96 -99.99 -99.99  -2.63  -2.26  -3.83
198011  -3.67   5.41  -4.97   5.41  -4.87 -99.99 -99.99   1.44  -5.60   6.74
198012  -7.85  -2.81  -9.14  -2.81  -9.14 -99.99 -99.99  -3.28 -10.01   4.75
198101  -5.47   0.69  -7.46   0.58  -7.11 -99.99 -99.99   0.40  -8.28 -99.99
198102  -4.45  11.09  -7.66   8.86  -6.74 -99.99 -99.99   4.42  -8.54 -99.99
198103  -3.44   0.48  -3.03   1.21  -4.03 -99.99 -99.99  -4.78  -3.93 -99.99
198104  -3.92   9.74  -4.73 -11.90  -5.17 -99.99 -99.99   2.57  -5.73 -99.99
198105 -13.41 -15.43 -15.06 -12.07 -13.92 -99.99 -99.99  -8.59 -15.66 -99.99
198106  -2.03   1.65  -2.29   2.96  -2.14 -99.99 -99.99  -0.74  -2.19 -99.99
198107  13.67   3.87  16.71   5.43  15.34 -99.99 -99.99   4.03  16.93 -99.99
198108   3.09   7.19   3.32  -2.15   3.30 -99.99 -99.99   4.49   2.99 -99.99
198109  -6.62   3.79  -8.98 -10.81  -7.81 -99.99 -99.99   3.39  -9.88 -99.99
198110  10.04   5.56   9.95   6.77  10.54 -99.99 -99.99  11.10   9.98 -99.99
198111   5.19  11.15   6.83 -15.18   6.46 -99.99 -99.99   6.18   6.37 -99.99
198112  -8.04  -5.75 -10.02  -4.17  -8.98 -99.99 -99.99  -3.25 -10.47 -99.99
198201   0.08   5.46  -0.77   9.06   3.76 -99.99 -99.99   4.29  -3.22  10.50
198202  -8.16  -5.91 -10.39  -7.35  -8.35 -99.99 -99.99  -0.89 -11.61  -6.98
198203 -11.37  -7.03 -13.70  -4.71  -1.19 -99.99 -99.99  -8.91 -16.70  -1.76
198204   8.61   6.53  10.72   8.60   2.95 -99.99 -99.99   4.33  12.94   5.02
198205   1.15  -2.17   1.74  10.88   0.30 -99.99 -99.99  -1.27   1.16  -3.54
198206 -11.72 -10.49 -12.35  -7.38 -16.04 -99.99 -99.99  -5.99 -13.35 -15.22
198207  -2.61  -6.43  -2.62  -4.07  -3.01 -99.99 -99.99  -3.99  -2.09  -0.95
198208   0.68  -0.66   1.87  -3.88  -1.45 -99.99 -99.99  -1.67   3.28  -2.00
198209  -7.75  -7.94  -6.94  -8.93  -7.24 -99.99 -99.99  -6.86  -7.36  -7.95
198210  -0.50 -12.04   1.83  -1.84  -8.99 -99.99 -99.99  -4.55   3.22 -13.86
198211  -3.06  -2.15  -4.24   0.05   5.55 -99.99 -99.99  -0.42  -5.34   3.10
198212   5.05   7.38   5.03   4.71  10.95 -99.99 -99.99   5.60   4.85   7.85
198301  11.34  20.42  11.00  18.84  34.23 -99.99 -99.99   8.22  46.72  38.67
198302   9.55  17.34  10.57  24.55  12.93 -99.99 -99.99   4.32  18.99  13.79
198303   2.89  20.76   2.35  10.76   0.87 -99.99 -99.99  -1.55   1.28  19.71
198304  21.45  10.24  26.44  15.89  16.67 -99.99 -99.99  10.85  18.46  16.72
198305  -0.75   4.65  -0.78 -11.44   6.00 -99.99 -99.99  -0.50   0.84  -0.56
198306   2.44   0.98   3.93  -1.48  -7.40 -99.99 -99.99  -2.27  -4.86   9.22
198307  10.31   7.18  12.14   9.57   5.84 -99.99 -99.99   2.80   4.08   9.25
198308   0.27  -3.33   1.37   1.44  -3.53 -99.99 -99.99  -3.02  -3.21  -5.70
198309   3.87   9.12   1.49  11.59   0.64 -99.99 -99.99   9.83   0.98  13.08
198310  -4.93  -3.59  -7.49  -2.80  -4.07 -99.99 -99.99   4.19  -5.94  -5.98
198311   1.62   0.82   1.11  -2.79   2.75 -99.99 -99.99   5.38   4.60   4.35
198312   3.01  10.30   1.63   5.38   7.65 -99.99 -99.99   4.19   6.93  13.33
198401  11.87  10.89  11.25  19.48   5.54 -99.99 -99.99   8.89   3.82  16.27
198402   4.30   6.05   3.48   5.87   0.04 -99.99 -99.99   3.41  -0.87   5.23
198403   4.85   4.77   2.45  13.70  10.22 -99.99 -99.99   4.13   6.59   5.57
198404   6.05   0.59   8.11  -1.60   7.02 -99.99 -99.99   2.97   7.00   9.38
198405  -3.56  -6.01  -2.91  -3.54  -6.68 -99.99 -99.99  -2.60  -7.13 -19.15
198406 -15.72 -14.05 -15.27 -17.77 -15.35 -99.99 -99.99 -13.87 -13.25 -21.22
198407  -2.01   3.07  -4.38   6.02   5.03 -99.99 -99.99   1.22   5.97   4.27
198408  11.06   1.88  14.79   7.74   7.97 -99.99 -99.99  -0.03   7.09   0.14
198409  -8.21 -11.36  -6.96  -6.62  -6.09 -99.99 -99.99 -10.23  -3.52 -13.01
198410   3.21  10.34   1.33   5.51   4.64 -99.99 -99.99   8.61   6.93   8.01
198411  -6.19  -2.73  -9.74  -3.01   6.61 -99.99 -99.99   0.28   1.59 -11.55
198412  -0.84   5.47  -4.22   3.09   3.69 -99.99 -99.99   3.50   1.11  -1.19
198501  13.24   6.16  19.07   7.02  18.99 -99.99 -99.99  12.21  20.65 -99.99
198502  -6.87  -5.34 -10.22  -3.69 -10.07 -99.99 -99.99  -4.94 -10.72 -99.99
198503   1.49  -3.37  -1.15   3.11  -1.31 -99.99 -99.99  -0.11  -1.75 -99.99
198504   7.00   1.94   6.47   8.57   6.80 -99.99 -99.99   2.89   7.47 -99.99
198505   2.23  -2.07   8.14  -3.76   7.58 -99.99 -99.99   2.95   8.56 -99.99
198506  -5.40   3.01  -4.43  -5.53  -4.59 -99.99 -99.99  -3.50  -5.03 -99.99
198507  15.81  14.62  14.14  17.14  14.22 -99.99 -99.99  14.58  14.41 -99.99
