
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  20.29  22.80  14.86  17.72  18.69  18.15  16.46  18.44  18.95  20.86
197502   2.58   4.88   1.33   8.75   0.15   5.03   0.14   9.13   0.56   5.59
197503  -2.97  -1.41  -2.72   1.78  -3.60  -1.27  -3.14   1.25  -3.83 -12.97
197504  -1.22  -1.93  -1.35   1.86  -1.89  -3.19  -2.27   1.68  -1.50 -15.14
197505  10.02   3.93  11.82  10.78  10.60   6.74   9.48   9.80  12.70   2.09
197506  -3.18  -3.43  -5.29  -4.35  -2.44  -4.79  -4.43  -3.68  -3.24  -3.28
197507  -3.94  -5.50  -3.93  -5.15  -3.76  -1.51  -4.56  -5.70  -3.53  13.63
197508  -2.09  -2.18  -1.72   0.26  -1.63  -4.41  -0.37  -0.11  -2.61  -2.08
197509   6.63  12.17   6.60   5.96   5.44   8.64   8.42   7.82   4.19  13.20
197510   2.96   5.38   2.38   0.60   1.15   7.39   3.83  -1.05   2.88  -0.90
197511   7.11  10.45   9.10   6.14   4.20   9.09   6.46   7.52   6.82  10.57
197512   3.48   6.29   3.45   6.60   2.48   5.12   2.29   6.56   1.51  34.84
197601   2.33   9.17  -0.05   7.35   0.35   2.45   3.36  10.65   0.22  -8.90
197602   1.89   0.00   0.81   3.92   1.81   4.06  -0.14   2.79   1.96 -12.32
197603  -2.30  -7.51   0.32  -5.27  -0.69  -2.46  -1.64  -7.51   0.12  -4.54
197604   2.96  -1.01   3.96   5.41   3.88   4.84   2.35   3.35   4.84  -0.03
197605   1.52   2.44   2.23  -0.75   1.56   2.23   1.31   0.31   3.65  -1.49
197606   1.32   3.75  -0.61   2.88   2.05   2.47  -0.82   4.07  -1.21  -4.53
197607  10.93   8.51  14.34  10.37   9.87  10.72   9.64  10.41  16.19  19.69
197608   0.07  -3.52  -1.70   2.28   1.04  -0.69   0.59  -2.57  -3.11   5.37
197609  -7.81 -10.73  -7.37  -6.86 -10.18  -7.19  -8.63  -6.66  -7.19   3.61
197610  -5.88  -5.04  -7.46  -4.84  -5.16  -6.57  -4.50  -2.19  -6.38  -9.67
197611 -20.51 -22.13 -19.98 -19.08 -20.05 -20.36 -21.44 -21.72 -20.57 -24.45
197612  12.43   8.96  13.92  11.06  12.76  16.71   9.87  10.73  14.11  14.95
197701   2.51   3.76   3.34   1.08   2.51   4.06   3.95   4.08   2.34   8.15
197702  -2.60  -1.20  -1.39   0.82  -3.49  -0.42  -2.79  -0.78  -3.45  -1.11
197703   5.98   2.41   7.92   6.06   7.90   3.11   8.23   0.10   7.48  -8.01
197704  -0.50   1.01  -0.43   1.37  -0.58   0.66  -0.10  -1.06  -0.16 -11.30
197705   4.67   8.29   3.93   8.16   3.54  10.03   3.40   8.17   2.85   1.00
197706   0.35   1.15   0.53   3.44  -1.21   2.04  -0.61   2.33  -1.19   2.61
197707  -5.41   0.27  -6.54  -0.98  -8.44  -0.79  -5.05   1.98  -8.43  -2.34
197708  -4.88  -4.02  -6.93  -5.66  -3.82  -3.91  -5.22  -2.90  -4.73  -9.83
197709  -0.08   5.88  -1.14   6.08  -3.08   6.89  -2.71   4.71  -3.27  -2.16
197710   6.83   8.09   5.11   8.81   5.09  10.60   4.79  10.09   4.83   4.00
197711  -2.30  -0.04  -2.94  -1.70  -3.84  -0.67  -3.13   0.01  -3.39  10.05
197712   8.72  12.28   8.01   9.99   7.18  14.15   7.35  15.52   6.17   4.92
197801  -4.28  -1.18  -5.21   0.14  -5.29  -5.32  -3.64  -1.45  -4.52  -8.31
197802  -5.27  -4.32  -5.76  -3.83  -4.70  -4.75  -6.57  -4.03  -7.84  -8.73
197803   5.51   3.83   5.49   1.67   9.29   8.51   5.88   6.04   7.76   1.51
197804   6.35   5.27   5.55   4.66   6.80   8.16   4.65   4.21   6.46   5.34
197805   4.88   3.97   4.91   2.58   4.74   6.80   3.83   5.12   5.31   5.06
