
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
199304  23.96  29.56  21.58  16.44  22.16  18.61  23.75  26.69  19.71  29.17
199305   3.80   5.05   2.07   5.49  -1.63   3.18   9.75   3.23   0.30   8.36
199306  -9.63  -9.64 -12.01 -14.92  -3.93 -11.57 -11.07  -7.84  -8.48 -13.59
199307   2.21   3.66  -1.67   0.03  -6.91  -6.14  11.86   3.14  -2.71   6.25
199308  12.44  19.07   8.40   3.30   9.70   6.03   9.36  17.59   4.80  17.33
199309   0.08  -4.72   0.85   8.37   1.65   0.32   3.42  -1.69   3.38  -2.04
199310  10.83   7.81   9.50   3.89   7.69   7.35  14.42  11.10   6.26  12.33
199311  -5.06  -4.93  -5.86  -3.09   6.12  -0.05 -10.80  -4.88  -0.66  -8.43
199312   7.72   9.53   8.70   7.78  16.62  12.71  13.55  10.97   1.79  13.49
199401  25.04  23.26  21.05  27.72  17.00  21.78  24.03  20.74  25.30  27.98
199402  -1.27  -1.51  -2.11  -5.73   1.33   1.94  -0.49   4.74  -2.82  -2.37
199403  -3.98 -11.94  13.62  -8.91  19.06 -10.18   1.13  -7.92   6.62  -8.40
199404   7.24   4.64  10.78   5.16  16.43   7.83  10.43   9.89  13.19   2.24
199405  -5.65  -1.55  -8.69  -3.40 -12.58  -3.91  -9.15  -2.28 -11.71  -0.97
199406  -1.15  -1.86   2.70  -8.16   7.20  -3.62   5.76  -6.76   8.83  -4.89
199407  10.88   7.97  16.07   7.59  17.12   7.48  13.55   3.73  13.62  10.66
199408   8.53   6.82  10.46   0.00  10.14   1.26  13.45   2.37  14.58   7.80
199409   1.34   1.27   4.14   2.99   6.01   2.77   2.23   0.71   3.58  -1.44
199410  10.97   1.88  21.80   9.44  26.81   8.14  16.30   8.85  20.63   4.32
