,Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,WML
54,264,0.56,-1.34,-2.58,2.46,-2.16,0.0,2012,7,4.66
55,265,4.5,0.06,3.19,-1.86,1.48,0.01,2012,8,-2.93
56,266,3.49,1.65,2.16,-1.52,0.82,0.01,2012,9,-0.91
57,267,1.66,-0.56,1.78,-1.13,-0.33,0.01,2012,10,0.58
58,268,2.27,-2.44,-0.58,0.56,-0.93,0.01,2012,11,2.37
59,269,3.38,2.5,3.03,-0.73,0.83,0.01,2012,12,-0.97
60,270,6.2,0.63,4.33,-3.48,1.77,0.0,2013,1,-0.4
61,271,-2.49,1.97,-3.35,2.0,-1.35,0.0,2013,2,4.54
62,272,-0.54,-0.82,-4.3,2.24,-0.28,0.0,2013,3,2.65
63,273,4.16,-1.38,3.67,-1.06,1.21,0.0,2013,4,0.98
64,274,1.05,1.22,2.82,-1.05,-0.13,0.0,2013,5,0.54
65,275,-4.64,2.14,-2.56,2.22,0.45,0.0,2013,6,1.2
66,276,7.45,-1.45,2.8,-0.62,0.29,0.0,2013,7,3.6
67,277,-0.7,2.64,0.51,-0.01,0.92,0.0,2013,8,-2.35
68,278,7.05,0.14,1.38,-0.92,1.56,0.0,2013,9,2.42
69,279,4.49,0.02,4.39,-1.74,1.76,0.0,2013,10,1.98
70,280,1.33,0.8,-0.42,0.68,0.63,0.0,2013,11,2.55
71,281,2.37,0.56,-0.2,0.38,0.28,0.0,2013,12,1.5
72,282,-3.03,3.64,2.58,-1.22,2.05,0.0,2014,1,2.32
73,283,7.42,0.54,0.37,0.69,0.95,0.0,2014,2,2.2
74,284,-0.54,0.65,1.72,1.06,0.12,0.0,2014,3,-0.99
75,285,1.77,-2.05,0.29,0.45,-1.14,0.0,2014,4,-3.54
76,286,0.77,-0.6,-0.41,0.67,-0.39,0.0,2014,5,-0.23
77,287,-0.12,0.21,-1.76,2.07,-0.96,0.0,2014,6,0.33
78,288,-4.1,-0.61,0.4,-1.63,0.4,0.0,2014,7,-0.58
79,289,-0.02,-0.93,-1.01,0.23,-0.77,0.0,2014,8,0.33
80,290,-3.79,-2.17,-0.44,-0.44,0.38,0.0,2014,9,2.49
81,291,-2.7,-1.14,-3.09,2.33,-0.53,0.0,2014,10,1.08
82,292,2.12,-1.35,-1.82,0.67,0.24,0.0,2014,11,-0.62
83,293,-3.7,2.31,-2.35,1.57,-1.93,0.0,2014,12,1.98
84,294,-0.31,-1.54,-3.52,2.84,-1.07,0.0,2015,1,3.51
85,295,6.21,0.87,1.96,-1.97,-0.13,0.0,2015,2,-3.97
86,296,-2.28,-0.32,-0.35,0.01,0.79,0.0,2015,3,1.57
87,297,4.79,2.07,0.33,0.02,-0.41,0.0,2015,4,-2.14
88,298,-0.15,1.51,-2.47,0.06,-0.66,0.0,2015,5,3.56
89,299,-2.84,1.95,0.15,-0.15,-0.22,0.0,2015,6,0.91
90,300,2.39,-0.93,-2.65,0.94,-0.75,0.0,2015,7,3.53
91,301,-6.02,3.63,-1.0,0.79,-0.9,0.0,2015,8,2.12
92,302,-4.27,1.17,-3.63,2.7,-0.98,0.0,2015,9,4.28
93,303,6.19,-2.94,-0.77,1.98,-0.06,0.0,2015,10,-1.56
94,304,-1.49,0.31,-2.8,3.03,-2.12,0.0,2015,11,2.61
95,305,-1.86,3.74,-1.25,0.67,-1.65,0.01,2015,12,4.01
96,306,-6.43,-0.62,-1.49,2.47,2.28,0.01,2016,1,1.15
97,307,-1.71,1.47,0.37,0.65,0.88,0.02,2016,2,-0.7
98,308,6.7,1.79,1.19,0.74,-1.12,0.02,2016,3,-1.49
99,309,2.38,-0.56,3.35,-1.88,0.9,0.01,2016,4,-3.91
100,310,-0.38,1.41,-2.87,1.76,-0.48,0.01,2016,5,3.81
101,311,-5.01,-2.24,-1.64,3.25,2.82,0.02,2016,6,7.1
102,312,4.44,1.51,0.21,0.07,-0.86,0.02,2016,7,-0.1
103,313,0.78,1.7,1.93,-1.92,-0.01,0.02,2016,8,-1.76
104,314,0.95,0.97,-0.15,0.32,0.03,0.02,2016,9,3.13
105,315,-3.08,-0.5,6.36,-3.85,2.96,0.02,2016,10,-0.82
106,316,-2.5,1.0,1.92,-1.54,1.87,0.01,2016,11,-2.05
107,317,4.72,-0.82,1.99,-0.9,1.05,0.03,2016,12,-1.96
108,318,2.84,2.12,0.47,-0.24,0.18,0.04,2017,1,2.83
109,319,0.68,0.03,-2.6,2.73,-1.32,0.04,2017,2,-1.6
110,320,4.27,-1.28,0.5,0.12,-0.28,0.03,2017,3,0.02
111,321,4.63,1.94,-1.3,1.6,-1.32,0.05,2017,4,0.24
112,322,5.03,0.02,-0.79,1.21,-0.69,0.06,2017,5,-0.44
113,323,-0.67,1.62,2.03,-2.01,0.79,0.06,2017,6,1.55
114,324,3.49,0.68,2.59,-2.24,0.34,0.07,2017,7,1.96
115,325,0.11,0.03,-0.71,1.45,-0.03,0.09,2017,8,1.33
116,326,2.72,-0.16,0.47,0.33,-0.5,0.09,2017,9,0.63
117,327,0.59,-0.99,-0.13,0.1,-0.32,0.09,2017,10,1.22
118,328,-0.01,-0.29,1.29,-0.38,0.9,0.08,2017,11,0.3
119,329,1.47,1.54,0.5,-0.74,0.33,0.09,2017,12,-1.42
120,330,5.52,0.64,1.1,-2.14,0.91,0.11,2018,1,2.96
121,331,-5.35,1.1,-0.75,0.19,-0.25,0.11,2018,2,0.62
122,332,-0.71,-0.56,-0.94,1.45,-1.37,0.12,2018,3,-0.43
123,333,2.2,-0.7,1.51,-0.52,0.43,0.14,2018,4,0.7
124,334,-2.73,1.07,-4.98,2.38,-2.42,0.14,2018,5,2.0
125,335,-0.92,-0.9,-1.56,-0.16,-0.57,0.14,2018,6,-0.66
126,336,2.69,-2.05,0.4,-0.53,-0.86,0.16,2018,7,-0.56
127,337,-2.65,0.86,-2.65,0.88,-1.74,0.16,2018,8,2.42
128,338,0.12,-1.35,2.34,-0.53,0.64,0.15,2018,9,1.59
129,339,-8.54,-1.5,1.47,-0.36,1.15,0.19,2018,10,-1.47
130,340,-1.31,-1.11,-0.57,0.78,0.46,0.18,2018,11,-2.09
131,341,-4.59,-0.52,0.95,0.7,0.0,0.19,2018,12,3.24
132,342,6.19,0.55,-0.95,1.64,-1.28,0.21,2019,1,-2.23
133,343,2.93,-1.46,-1.23,-0.01,-0.16,0.18,2019,2,-1.16
134,344,0.58,-1.8,-2.33,1.24,-0.87,0.19,2019,3,4.51
135,345,3.7,0.14,-1.04,0.34,-0.29,0.21,2019,4,-4.39
136,346,-5.34,1.21,-1.54,-0.59,0.01,0.21,2019,5,8.5
137,347,5.87,-2.56,-1.32,1.49,0.1,0.18,2019,6,-0.45
138,348,-2.56,-1.33,0.09,-1.16,-0.03,0.19,2019,7,1.39
139,349,-2.4,-0.66,-1.96,0.88,0.0,0.16,2019,8,3.28
140,350,2.15,-0.67,3.08,-0.46,1.31,0.18,2019,9,-2.29
141,351,3.27,0.83,-0.5,1.25,-1.55,0.15,2019,10,-1.22
142,352,1.77,1.89,-2.24,1.31,-1.68,0.12,2019,11,0.69
143,353,4.07,2.71,0.41,-0.39,0.11,0.14,2019,12,1.66
