,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Year,Month
774,5.12,7.32,6.37,-2.05,15.02,0.02,9.3,4.55,-1.37,7.47,1991,1
775,10.3,10.24,5.87,8.55,6.61,3.25,8.33,9.9,4.84,9.74,1991,2
776,4.8,1.18,1.37,1.3,1.3,2.14,8.61,5.44,1.71,3.07,1991,3
777,-1.0,-2.29,0.54,2.46,-2.88,1.13,1.99,-1.14,-0.04,1.34,1991,4
778,3.6,14.75,7.55,-1.4,3.52,-1.47,7.72,4.7,0.15,4.99,1991,5
779,-4.94,-4.47,-4.27,-3.64,-8.78,-1.5,-4.29,-4.21,-2.37,-5.24,1991,6
780,5.76,-0.44,3.12,5.03,4.66,3.11,5.31,8.51,3.99,4.73,1991,7
781,5.47,-2.16,1.86,1.62,2.84,0.67,3.6,2.94,3.51,3.19,1991,8
782,-3.24,-2.66,-2.33,-0.68,-1.34,0.37,-3.18,-0.33,3.71,-0.65,1991,9
783,-0.55,-2.01,1.46,2.05,2.0,1.9,-1.95,6.53,1.25,2.27,1991,10
784,-0.42,-7.99,-5.55,-7.69,-4.39,-4.75,-1.17,-2.52,1.89,-5.41,1991,11
785,14.73,7.61,11.57,2.11,9.16,9.92,13.03,16.61,4.99,12.75,1991,12
786,-3.1,10.5,2.32,-4.12,6.7,-2.87,0.27,-5.45,-4.57,2.0,1992,1
787,1.05,12.32,2.19,-0.53,3.86,-1.45,2.63,-2.73,-1.24,3.08,1992,2
788,-1.51,0.8,-1.16,-2.75,-5.18,-0.83,-1.38,-5.53,-0.53,-2.16,1992,3
789,0.75,7.92,3.04,9.45,-1.03,7.04,-3.5,-2.3,2.69,0.58,1992,4
790,1.31,-1.92,-0.62,3.18,0.02,-2.46,0.24,1.11,2.54,1.48,1992,5
791,-2.8,2.18,-3.25,-3.5,-4.16,1.32,-1.89,-4.78,0.54,-0.05,1992,6
792,4.67,0.28,2.93,5.31,2.96,5.44,3.79,5.8,6.72,3.11,1992,7
793,0.87,-9.6,-3.52,2.59,-4.52,-0.97,-0.54,-3.36,-0.47,-3.47,1992,8
794,1.06,0.09,1.79,0.13,3.4,1.91,4.1,-4.98,0.83,3.43,1992,9
795,-0.82,-0.01,0.94,-3.47,2.12,-0.54,4.38,3.34,-0.43,2.97,1992,10
796,3.62,8.56,3.93,-2.69,6.37,3.88,7.09,4.84,-0.23,6.12,1992,11
797,0.05,3.36,1.4,1.92,0.01,5.65,0.65,-1.35,2.7,3.82,1992,12
798,-0.8,9.59,0.13,2.77,4.86,1.33,0.07,-6.86,2.45,3.37,1993,1
799,-2.14,-0.29,1.73,5.99,-0.33,5.71,-1.47,-9.0,6.22,0.37,1993,2
800,0.0,5.4,2.18,4.11,2.23,3.27,2.77,0.73,1.76,3.79,1993,3
801,-9.32,2.43,0.04,1.14,-3.75,-2.87,-8.14,1.29,-0.15,-3.27,1993,4
802,2.67,1.08,2.34,1.77,8.81,4.16,5.92,3.59,-0.04,1.64,1993,5
803,-0.69,3.45,-0.26,-1.16,-0.41,4.64,-2.86,-2.96,3.18,2.29,1993,6
804,-2.36,1.51,-0.09,0.48,-3.87,2.14,0.73,-5.99,1.94,2.06,1993,7
805,4.29,0.46,3.46,4.23,6.45,5.24,3.93,3.02,3.69,3.46,1993,8
806,-1.83,1.01,-1.89,1.36,1.32,-0.49,-0.35,0.86,-0.64,1.79,1993,9
807,6.06,7.7,3.09,-1.95,1.62,2.41,4.77,5.92,-1.96,-2.36,1993,10
808,0.68,0.68,1.33,-5.97,-0.05,-5.95,0.58,0.97,-5.52,-2.83,1993,11
