,Mkt-RF,SMB,HML,RF,Year,Month
774,4.69,3.81,-1.6,0.52,1991,1
775,7.19,3.95,-0.58,0.48,1991,2
776,2.65,3.93,-1.39,0.44,1991,3
777,-0.28,0.48,1.5,0.53,1991,4
778,3.65,-0.4,-0.52,0.47,1991,5
779,-4.94,0.13,1.15,0.42,1991,6
780,4.24,-0.92,-1.32,0.49,1991,7
781,2.32,1.58,-0.78,0.46,1991,8
782,-1.59,1.64,-1.08,0.46,1991,9
783,1.29,0.81,-0.47,0.42,1991,10
784,-4.19,-0.5,-1.89,0.39,1991,11
785,10.84,-2.24,-4.17,0.38,1991,12
786,-0.59,8.46,4.71,0.34,1992,1
787,1.09,0.87,6.47,0.28,1992,2
788,-2.66,-1.04,3.56,0.34,1992,3
789,1.07,-6.06,4.34,0.32,1992,4
790,0.3,0.41,1.19,0.28,1992,5
791,-2.34,-3.07,3.24,0.32,1992,6
792,3.77,-0.47,-0.56,0.31,1992,7
793,-2.38,-0.13,-1.1,0.26,1992,8
794,1.19,0.54,-0.26,0.26,1992,9
795,1.02,2.09,-1.98,0.23,1992,10
796,4.13,3.76,-1.35,0.23,1992,11
797,1.53,1.69,2.62,0.28,1992,12
798,0.93,1.89,5.94,0.23,1993,1
799,0.12,-3.48,6.42,0.22,1993,2
800,2.3,0.24,1.18,0.25,1993,3
801,-3.05,-0.67,2.49,0.24,1993,4
802,2.89,2.04,-3.42,0.22,1993,5
803,0.31,-0.29,2.75,0.25,1993,6
804,-0.34,0.96,2.85,0.24,1993,7
805,3.71,0.13,0.13,0.25,1993,8
806,-0.12,3.04,-0.31,0.26,1993,9
807,1.41,2.03,-2.76,0.22,1993,10
808,-1.89,-1.25,-0.74,0.25,1993,11
809,1.65,1.23,0.32,0.23,1993,12
810,2.87,0.34,1.15,0.25,1994,1
811,-2.55,2.8,-1.54,0.21,1994,2
812,-4.78,-1.08,1.6,0.27,1994,3
813,0.68,-0.93,1.66,0.27,1994,4
814,0.58,-2.15,0.67,0.31,1994,5
815,-3.03,-0.41,1.67,0.31,1994,6
816,2.82,-1.81,0.58,0.28,1994,7
817,4.01,1.45,-2.51,0.37,1994,8
818,-2.31,3.14,-1.89,0.37,1994,9
819,1.34,-2.24,-1.62,0.38,1994,10
820,-4.04,0.25,-0.7,0.37,1994,11
821,0.86,0.22,-0.13,0.44,1994,12
822,1.8,-3.5,2.57,0.42,1995,1
823,3.63,-0.66,1.08,0.4,1995,2
824,2.19,-0.16,-2.15,0.46,1995,3
825,2.11,-0.49,1.71,0.44,1995,4
826,2.9,-2.55,2.29,0.54,1995,5
827,2.72,3.18,-2.54,0.47,1995,6
828,3.72,2.07,-1.62,0.45,1995,7
829,0.55,1.35,2.79,0.47,1995,8
830,3.35,-2.2,-0.04,0.43,1995,9
831,-1.52,-3.78,-0.5,0.47,1995,10
832,3.96,-1.09,0.51,0.42,1995,11
833,1.03,0.7,0.22,0.49,1995,12
834,2.26,-2.73,0.38,0.43,1996,1
835,1.33,1.79,-1.08,0.39,1996,2
836,0.73,1.49,0.35,0.39,1996,3
837,2.06,5.23,-4.02,0.46,1996,4
838,2.36,3.17,-0.83,0.42,1996,5
839,-1.14,-4.01,2.35,0.4,1996,6
840,-5.97,-4.31,5.14,0.45,1996,7
841,2.77,2.44,-0.74,0.41,1996,8
842,5.01,-0.98,-2.72,0.44,1996,9
