,Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,WML
58,268,0.65,-0.05,-0.73,0.76,0.86,0.01,2012,11,0.92
59,269,1.3,1.98,3.03,-1.59,0.7,0.01,2012,12,-2.13
60,270,5.33,0.51,1.54,-0.75,2.22,0.0,2013,1,-0.64
61,271,0.96,-0.91,-0.01,0.19,1.09,0.0,2013,2,2.2
62,272,3.71,0.82,-0.15,0.78,1.86,0.0,2013,3,2.0
63,273,1.27,-2.69,-0.02,0.38,0.99,0.0,2013,4,1.58
64,274,2.53,1.55,1.12,-1.19,-0.99,0.0,2013,5,0.08
65,275,-1.52,0.99,0.52,-0.26,0.14,0.0,2013,6,0.98
66,276,5.69,1.7,-0.24,-1.22,-0.23,0.0,2013,7,1.19
67,277,-2.53,0.24,-2.13,0.78,-2.32,0.0,2013,8,-0.81
68,278,3.82,2.01,-1.42,0.09,-1.29,0.0,2013,9,3.28
69,279,4.09,-1.55,0.65,1.73,0.62,0.0,2013,10,0.15
70,280,2.79,0.89,-0.53,0.51,0.62,0.0,2013,11,2.02
71,281,2.64,-0.59,-0.08,-0.69,-0.42,0.0,2013,12,0.32
72,282,-3.42,0.62,-1.43,-3.01,-1.17,0.0,2014,1,1.38
73,283,4.72,0.15,-0.42,-0.09,-0.7,0.0,2014,2,1.6
74,284,0.62,-0.85,4.88,1.66,2.15,0.0,2014,3,-3.07
75,285,0.25,-3.15,1.78,3.02,1.0,0.0,2014,4,-3.84
76,286,1.98,-1.91,-0.57,-0.02,-1.17,0.0,2014,5,1.0
77,287,2.81,2.96,0.52,-2.09,-2.17,0.0,2014,6,0.82
78,288,-2.06,-4.07,-0.04,0.8,-0.01,0.0,2014,7,-0.3
79,289,4.06,0.44,-1.01,0.51,-0.49,0.0,2014,8,1.07
80,290,-2.45,-3.93,-2.62,1.24,-0.79,0.0,2014,9,0.27
81,291,2.03,2.2,-3.48,0.3,-0.2,0.0,2014,10,-0.76
82,292,2.22,-2.39,-2.95,1.31,0.17,0.0,2014,11,1.24
83,293,-0.2,1.89,0.77,-1.68,0.93,0.0,2014,12,0.72
84,294,-3.47,-1.19,-3.89,2.14,-1.11,0.0,2015,1,4.67
85,295,6.15,0.57,-1.35,-1.05,-1.95,0.0,2015,2,-2.31
86,296,-1.2,2.5,-0.94,0.0,-0.56,0.0,2015,3,2.48
87,297,1.11,-2.33,3.37,-0.64,-0.32,0.0,2015,4,-6.84
88,298,1.0,0.38,-1.79,-1.34,-0.6,0.0,2015,5,5.79
89,299,-1.7,2.51,-1.32,-0.55,-1.04,0.0,2015,6,2.87
90,300,1.05,-4.88,-5.07,0.94,-2.12,0.0,2015,7,7.47
91,301,-5.93,0.35,3.45,0.26,0.99,0.0,2015,8,-2.19
92,302,-3.35,-2.86,0.72,1.54,-0.2,0.0,2015,9,3.27
93,303,7.53,-2.05,0.52,0.09,-0.01,0.0,2015,10,-3.2
94,304,0.45,2.14,-1.25,-2.07,-0.86,0.0,2015,11,2.52
95,305,-2.45,-3.09,-2.2,-0.45,0.36,0.01,2015,12,2.94
96,306,-5.73,-3.12,4.02,2.95,2.7,0.01,2016,1,-0.31
97,307,0.26,1.56,0.91,1.9,2.61,0.02,2016,2,-4.79
98,308,7.0,1.52,2.0,0.09,0.45,0.02,2016,3,-4.15
99,309,1.12,2.56,3.72,-3.61,2.65,0.01,2016,4,-3.55
100,310,1.39,-0.57,-2.61,0.0,-2.27,0.01,2016,5,2.43
101,311,-0.11,0.44,0.24,0.33,2.29,0.02,2016,6,5.21
102,312,3.92,2.07,-2.9,0.89,-1.68,0.02,2016,7,-2.26
103,313,0.43,1.21,1.59,-0.97,-0.23,0.02,2016,8,-3.44
104,314,0.34,1.35,-1.07,-1.65,-0.05,0.02,2016,9,0.19
105,315,-2.05,-3.27,2.89,0.21,0.42,0.02,2016,10,-0.05
106,316,4.54,5.29,6.78,-2.62,3.29,0.01,2016,11,-4.73
107,317,1.77,0.2,3.1,0.04,0.45,0.03,2016,12,-0.93
108,318,2.13,-1.01,-1.84,-0.23,-1.69,0.04,2017,1,-0.29
109,319,3.24,-1.81,-3.4,0.25,-1.52,0.04,2017,2,-2.25
110,320,0.21,0.35,-2.95,1.63,-1.12,0.03,2017,3,-0.62
111,321,0.84,-0.16,-3.05,1.79,-1.57,0.05,2017,4,0.22
112,322,0.93,-2.7,-4.28,2.34,-1.75,0.06,2017,5,1.36
113,323,0.99,2.5,1.66,-2.69,-0.87,0.06,2017,6,-0.26
114,324,1.97,-1.14,0.08,-0.69,-0.05,0.07,2017,7,1.64
115,325,0.06,-1.41,-2.61,1.29,-2.43,0.09,2017,8,2.12
116,326,2.48,3.24,2.58,-1.33,1.64,0.09,2017,9,-0.64
117,327,1.98,-1.72,-1.69,1.47,-3.48,0.09,2017,10,4.92
118,328,2.88,-0.13,-1.02,2.69,0.18,0.08,2017,11,-0.01
119,329,1.18,-0.33,-0.34,0.57,1.12,0.09,2017,12,-1.9
120,330,5.23,-2.88,-2.87,0.0,-1.08,0.11,2018,1,3.92
121,331,-3.95,-0.23,-2.74,0.86,-2.59,0.11,2018,2,3.64
122,332,-2.17,2.98,0.16,-0.46,-0.04,0.12,2018,3,-1.23
123,333,0.35,0.46,1.36,-1.91,0.74,0.14,2018,4,0.51
124,334,2.51,2.86,-3.41,-1.37,-1.71,0.14,2018,5,4.0
125,335,0.39,0.18,-1.04,1.18,0.88,0.14,2018,6,-1.3
126,336,3.11,-2.11,0.79,1.12,0.55,0.16,2018,7,-1.3
127,337,3.09,0.56,-5.77,0.56,-3.46,0.16,2018,8,5.04
128,338,0.06,-2.24,-1.1,0.38,0.59,0.15,2018,9,-0.09
129,339,-7.81,-3.8,3.67,0.24,2.82,0.19,2018,10,-2.33
130,340,1.62,-1.49,0.28,-0.21,1.03,0.18,2018,11,-1.87
131,341,-9.52,-2.19,-0.81,-0.2,-0.51,0.19,2018,12,1.24
132,342,8.59,2.87,-1.15,-0.86,-1.57,0.21,2019,1,-5.18
133,343,3.39,1.98,-3.23,-0.04,-1.27,0.18,2019,2,0.74
134,344,0.95,-3.39,-3.77,1.34,-1.39,0.19,2019,3,2.07
135,345,3.9,-0.96,0.81,1.15,-1.19,0.21,2019,4,-2.09
136,346,-6.82,-1.08,-1.18,-0.26,0.86,0.21,2019,5,6.89
137,347,6.99,0.52,-1.18,0.46,-0.85,0.18,2019,6,-1.89
138,348,1.07,-1.01,-0.69,0.27,0.0,0.19,2019,7,1.51
139,349,-2.48,-3.36,-2.41,1.4,-0.59,0.16,2019,8,5.67
140,350,1.52,0.28,6.13,1.43,3.14,0.18,2019,9,-6.53
141,351,1.83,0.01,-1.47,1.06,-0.98,0.15,2019,10,-0.85
142,352,3.8,0.21,-2.79,-1.67,-1.41,0.12,2019,11,-1.24
143,353,2.79,0.82,1.43,-0.21,1.57,0.14,2019,12,-1.14
