,Mkt-RF,SMB,HML,RF,Year,Month
450,2.24,-0.11,1.48,0.3,1964,1
451,1.54,0.11,2.81,0.26,1964,2
452,1.41,0.87,3.4,0.31,1964,3
453,0.1,-1.35,-0.67,0.29,1964,4
454,1.42,-0.86,1.86,0.26,1964,5
455,1.27,-0.12,0.62,0.3,1964,6
456,1.74,0.24,0.75,0.3,1964,7
457,-1.44,0.16,0.08,0.28,1964,8
458,2.69,-0.54,1.7,0.28,1964,9
459,0.59,0.42,1.17,0.29,1964,10
460,0.0,0.69,-1.96,0.29,1964,11
461,0.03,-0.35,-2.48,0.31,1964,12
462,3.54,2.7,0.12,0.28,1965,1
463,0.44,3.55,0.11,0.3,1965,2
464,-1.34,1.89,1.03,0.36,1965,3
465,3.11,1.1,0.66,0.31,1965,4
466,-0.77,0.11,-1.61,0.31,1965,5
467,-5.51,-4.34,0.59,0.35,1965,6
468,1.43,0.89,2.2,0.31,1965,7
469,2.73,2.84,-1.0,0.33,1965,8
470,2.86,0.64,-0.13,0.31,1965,9
471,2.6,2.52,1.56,0.31,1965,10
472,-0.03,4.68,0.15,0.35,1965,11
473,1.01,2.06,2.03,0.33,1965,12
474,0.72,3.84,3.56,0.38,1966,1
475,-1.21,4.4,0.33,0.35,1966,2
476,-2.51,0.99,-1.98,0.38,1966,3
477,2.14,3.43,-0.46,0.34,1966,4
478,-5.66,-4.6,-1.63,0.41,1966,5
479,-1.44,1.03,0.5,0.38,1966,6
480,-1.63,-0.36,0.95,0.35,1966,7
481,-7.91,-3.27,0.43,0.41,1966,8
482,-1.06,-1.04,0.56,0.4,1966,9
483,3.86,-6.52,2.69,0.45,1966,10
484,1.4,4.24,-4.69,0.4,1966,11
485,0.13,1.97,-1.19,0.4,1966,12
486,8.15,8.32,2.27,0.43,1967,1
487,0.78,3.35,-2.22,0.36,1967,2
488,3.99,1.55,0.37,0.39,1967,3
489,3.89,0.63,-2.48,0.32,1967,4
490,-4.33,1.9,1.09,0.33,1967,5
491,2.41,5.93,0.85,0.27,1967,6
492,4.58,3.12,2.73,0.31,1967,7
