,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month
6,4.27,2.69,-0.05,1.19,-4.59,0.52,1991,1
7,7.18,4.13,-0.84,-1.7,-0.1,0.48,1991,2
8,2.44,3.86,-3.0,-0.01,-1.68,0.44,1991,3
9,-0.17,0.06,1.25,-0.1,-0.1,0.53,1991,4
10,3.59,0.07,-0.01,-0.13,-2.06,0.47,1991,5
11,-4.71,0.9,0.57,1.48,0.97,0.42,1991,6
12,3.99,-0.89,-2.54,2.01,-1.46,0.49,1991,7
13,2.17,0.99,-1.66,1.12,-1.05,0.46,1991,8
14,-1.7,1.69,-0.77,-0.08,-0.02,0.46,1991,9
15,1.45,1.04,-0.26,-1.35,-0.65,0.42,1991,10
16,-4.16,-0.56,-2.18,1.92,-0.37,0.39,1991,11
17,10.03,-3.16,-5.33,3.5,-4.47,0.38,1991,12
18,-0.68,8.61,3.84,-1.96,2.59,0.34,1992,1
19,1.0,1.46,4.83,-1.16,1.67,0.28,1992,2
20,-2.74,-0.95,4.23,-0.76,2.04,0.34,1992,3
21,1.12,-5.29,3.4,0.29,3.33,0.32,1992,4
22,0.32,-0.25,0.95,-1.76,1.12,0.28,1992,5
23,-2.16,-2.38,2.87,-0.97,0.91,0.32,1992,6
24,3.66,-0.89,-0.79,1.49,-0.28,0.31,1992,7
25,-2.32,-0.21,-0.24,3.36,-0.2,0.26,1992,8
26,0.72,0.45,-0.96,1.43,-0.77,0.26,1992,9
27,0.97,2.1,-3.12,2.21,-1.93,0.23,1992,10
28,3.51,3.41,-2.89,0.21,-2.74,0.23,1992,11
29,1.55,1.66,2.07,-0.63,1.38,0.28,1992,12
30,0.75,2.4,5.17,-2.39,2.5,0.23,1993,1
31,0.45,-2.81,7.22,-2.37,4.67,0.22,1993,2
32,2.34,0.72,1.98,-1.5,2.03,0.25,1993,3
33,-2.6,-0.31,2.99,-2.94,2.12,0.24,1993,4
34,2.81,1.75,-2.8,0.33,-1.31,0.22,1993,5
35,0.27,0.73,1.99,-0.95,1.13,0.25,1993,6
36,-0.37,1.11,2.55,-1.58,1.79,0.24,1993,7
