,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Year,Month
1038,5.1,3.5,6.05,7.47,2.38,4.85,5.58,8.08,5.05,6.76,2013,1
1039,3.19,0.01,1.28,0.68,0.67,2.29,0.85,1.32,2.2,1.41,2013,2
1040,5.06,4.03,2.61,2.07,2.72,5.64,4.72,6.51,5.68,4.18,2013,3
1041,3.78,3.65,0.75,-1.39,0.4,4.3,2.69,2.6,5.13,0.83,2013,4
1042,-2.31,9.88,3.48,3.05,4.55,-1.8,2.23,1.62,-7.11,5.92,2013,5
1043,0.11,-0.46,-1.99,-2.39,-2.92,2.09,-0.06,-1.37,0.82,-1.19,2013,6
1044,2.86,9.01,6.15,5.18,5.7,3.42,5.9,8.08,4.58,5.69,2013,7
1045,-3.93,-1.02,-1.84,-1.89,-0.2,-3.29,-4.23,-3.68,-4.42,-3.64,2013,8
1046,1.95,6.47,5.2,1.97,3.83,4.28,4.51,4.16,1.04,3.83,2013,9
1047,4.81,0.76,4.52,4.78,3.8,5.81,5.11,3.56,3.34,3.9,2013,10
1048,1.29,1.88,2.87,0.85,3.58,0.09,3.68,4.49,-1.8,4.79,2013,11
1049,2.45,1.24,3.11,3.05,3.99,3.97,0.28,0.62,1.79,3.1,2013,12
1050,-5.75,-3.61,-4.19,-6.89,-1.39,-3.8,-6.45,1.88,2.49,-4.37,2014,1
1051,3.43,8.0,5.39,5.66,5.14,2.56,5.35,6.48,3.08,3.49,2014,2
1052,3.26,-1.13,0.37,2.44,-0.62,0.17,-0.58,-2.56,2.68,1.98,2014,3
1053,1.54,0.33,0.9,5.67,-1.05,0.39,-0.95,-0.41,3.98,-1.97,2014,4
1054,3.47,0.69,1.19,0.88,3.39,4.1,0.98,1.87,0.0,1.86,2014,5
1055,1.16,4.45,1.37,4.12,2.88,1.54,1.29,2.9,5.41,2.45,2014,6
1056,-4.34,-4.66,-4.13,-3.55,0.23,0.79,-2.25,-0.3,-6.4,-2.27,2014,7
1057,5.56,5.19,4.81,2.31,4.24,0.32,5.01,5.54,5.31,4.12,2014,8
1058,-0.1,-9.41,-2.54,-7.83,-1.35,-1.44,-1.44,-0.22,-3.37,-1.13,2014,9
1059,2.67,3.72,2.38,-4.19,1.46,1.31,3.06,5.9,6.71,3.44,2014,10
1060,4.74,4.73,2.25,-9.59,4.3,2.46,7.57,2.52,0.26,2.49,2014,11
1061,-2.41,0.6,-0.11,0.54,-1.2,-2.04,1.6,-0.82,1.86,1.17,2014,12
1062,-0.55,-4.36,-3.75,-4.31,-3.49,-4.47,-0.25,1.59,1.24,-6.36,2015,1
1063,5.13,8.18,6.14,4.73,8.25,8.91,5.56,4.24,-4.35,7.21,2015,2
1064,-2.44,-0.46,-2.06,-2.49,-2.47,-2.11,0.69,0.76,-0.32,-0.59,2015,3
1065,0.85,-1.01,-0.71,6.67,1.44,3.6,-2.19,-1.42,0.28,0.62,2015,4
1066,1.49,1.04,0.89,-5.1,1.99,0.33,0.94,4.91,-0.46,1.74,2015,5
1067,-1.34,-1.65,-1.97,-3.77,-3.58,-0.52,-0.57,0.16,-5.29,0.03,2015,6
1068,4.96,-2.09,-2.06,-8.93,2.38,1.55,4.91,3.49,2.65,1.82,2015,7
1069,-4.11,-6.14,-5.62,-3.64,-5.79,-8.38,-5.37,-8.37,-4.06,-6.18,2015,8
1070,-0.56,-3.3,-4.26,-5.74,-1.48,-2.49,-1.79,-6.95,-0.5,-3.06,2015,9
1071,6.8,6.78,9.42,12.17,10.18,9.07,4.51,7.5,2.09,6.6,2015,10
1072,-0.91,1.94,0.43,1.06,1.25,-2.02,0.91,0.57,-3.44,1.38,2015,11
1073,0.78,-3.99,-2.58,-9.61,-2.63,-2.97,0.31,0.29,-2.36,-2.67,2015,12
1074,0.17,-12.63,-5.72,-4.36,-6.12,0.34,-4.18,-10.13,4.67,-8.77,2016,1
1075,0.59,4.09,3.35,-2.95,-0.86,0.95,0.07,-0.98,1.75,-0.43,2016,2
1076,5.0,10.8,6.9,10.89,8.35,6.13,5.72,3.96,7.86,7.16,2016,3
1077,0.3,1.52,2.32,9.17,-4.1,0.67,-0.64,4.95,-0.8,2.39,2016,4
1078,0.73,-1.2,-0.52,-0.59,5.07,0.29,0.98,2.41,2.24,1.2,2016,5
1079,4.73,-5.8,0.92,2.55,-1.77,3.57,0.88,-0.16,7.42,-3.07,2016,6
1080,-0.06,8.81,4.07,-2.73,7.63,2.24,3.51,6.16,-0.26,3.75,2016,7
1081,-0.61,0.19,1.48,1.61,1.8,-3.17,-1.42,-3.14,-3.77,3.3,2016,8
1082,-2.48,-1.66,-0.09,2.83,2.3,0.48,-0.67,0.58,1.83,-1.1,2016,9
1083,-0.18,-3.56,-2.58,-2.96,-1.14,-3.03,-3.97,-7.52,-0.67,0.74,2016,10
1084,-3.87,7.49,6.29,9.57,0.62,6.55,4.39,2.4,-2.64,11.64,2016,11
1085,3.46,4.0,0.5,1.97,0.95,4.88,-0.4,0.72,3.61,2.97,2016,12
1086,1.69,2.94,3.35,-4.29,4.58,3.36,1.03,2.03,1.07,0.95,2017,1
1087,3.75,0.62,4.16,-2.46,4.89,-0.03,2.82,7.0,3.98,3.68,2017,2
1088,0.88,0.23,0.13,-1.19,2.09,0.92,0.81,0.04,0.37,-1.66,2017,3
1089,0.51,1.85,1.86,-2.74,2.61,0.17,2.7,0.91,0.33,0.3,2017,4
1090,3.23,-0.36,1.29,-3.36,4.23,-1.4,1.65,-0.26,2.43,-0.52,2017,5
