,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month
6,2.24,0.13,1.48,0.17,1.47,0.3,1964,1
7,1.54,0.28,2.81,-0.05,0.91,0.26,1964,2
8,1.41,1.23,3.4,-2.21,3.22,0.31,1964,3
9,0.1,-1.52,-0.67,-1.27,-1.08,0.29,1964,4
10,1.42,-0.63,1.86,-0.16,0.17,0.26,1964,5
11,1.27,0.29,0.62,-0.28,-0.17,0.3,1964,6
12,1.74,0.5,0.75,0.08,1.91,0.3,1964,7
13,-1.44,0.41,0.08,0.12,0.35,0.28,1964,8
14,2.69,-0.34,1.7,-0.56,0.62,0.28,1964,9
15,0.59,0.87,1.17,-0.43,0.47,0.29,1964,10
16,0.0,-0.15,-1.96,0.63,-0.26,0.29,1964,11
17,0.03,-0.69,-2.48,1.07,-1.5,0.31,1964,12
18,3.54,2.44,0.12,0.91,0.1,0.28,1965,1
19,0.44,3.31,0.11,0.23,-0.68,0.3,1965,2
20,-1.34,2.12,1.03,-0.32,0.69,0.36,1965,3
21,3.11,1.05,0.66,0.3,-2.2,0.31,1965,4
22,-0.77,0.1,-1.61,-0.45,0.53,0.31,1965,5
23,-5.51,-4.28,0.59,0.22,0.37,0.35,1965,6
24,1.43,1.08,2.2,-1.37,0.03,0.31,1965,7
25,2.73,2.71,-1.0,1.9,-0.74,0.33,1965,8
26,2.86,0.62,-0.13,-0.89,0.8,0.31,1965,9
27,2.6,3.47,1.56,1.17,-0.65,0.31,1965,10
28,-0.03,5.19,0.15,-1.01,-0.94,0.35,1965,11
29,1.01,2.66,2.03,-1.14,-0.53,0.33,1965,12
30,0.72,4.68,3.56,-2.82,-0.11,0.38,1966,1
31,-1.21,4.71,0.33,-0.17,-1.49,0.35,1966,2
32,-2.51,0.32,-1.98,1.3,0.06,0.38,1966,3
33,2.14,3.35,-0.46,0.39,-0.95,0.34,1966,4
34,-5.66,-5.1,-1.63,1.64,-1.52,0.41,1966,5
35,-1.44,1.37,0.5,0.15,0.78,0.38,1966,6
36,-1.63,-0.41,0.95,-0.36,1.79,0.35,1966,7
37,-7.91,-3.12,0.43,-0.09,0.8,0.41,1966,8
38,-1.06,-1.14,0.56,-1.68,2.37,0.4,1966,9
39,3.86,-6.45,2.69,-3.48,4.25,0.45,1966,10
40,1.4,3.34,-4.69,4.13,-6.62,0.4,1966,11
41,0.13,2.02,-1.19,0.7,-0.34,0.4,1966,12
42,8.15,9.1,2.27,0.96,-3.16,0.43,1967,1
43,0.78,3.06,-2.22,1.99,-0.99,0.36,1967,2
44,3.99,1.87,0.37,0.86,-1.6,0.39,1967,3
45,3.89,0.43,-2.48,2.33,-3.67,0.32,1967,4
46,-4.33,2.29,1.09,-1.73,1.73,0.33,1967,5
47,2.41,6.43,0.85,-0.62,-2.42,0.27,1967,6
48,4.58,3.54,2.73,0.48,2.7,0.31,1967,7
49,-0.89,0.72,1.44,0.3,1.45,0.31,1967,8
50,3.11,2.44,-2.5,0.2,-0.95,0.32,1967,9
51,-3.09,0.53,-3.3,1.01,-2.62,0.39,1967,10
52,0.37,-0.04,-1.7,1.34,-2.34,0.36,1967,11
53,3.05,5.75,-0.53,-0.81,0.13,0.33,1967,12
54,-4.06,4.51,4.8,-4.62,6.46,0.4,1968,1
55,-3.75,-2.91,1.28,-0.16,2.45,0.39,1968,2
56,0.2,-1.59,-0.59,1.05,-1.1,0.38,1968,3
57,9.05,6.18,-1.13,2.69,-3.65,0.43,1968,4
58,2.28,7.0,0.85,0.43,-1.92,0.45,1968,5
59,0.69,-0.28,0.73,-1.41,2.76,0.43,1968,6
60,-2.72,-1.41,5.39,-3.13,3.72,0.48,1968,7
61,1.34,2.27,1.01,-0.7,0.48,0.42,1968,8
62,4.03,2.81,0.3,-1.99,0.87,0.43,1968,9
