,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month
6,1.51,-3.95,-0.03,0.68,-0.34,0.52,1991,1
7,7.3,1.12,0.66,0.42,-2.32,0.48,1991,2
8,-6.7,1.94,-0.27,2.22,-1.43,0.44,1991,3
9,-0.87,-0.3,-0.59,1.02,1.32,0.53,1991,4
10,0.49,-3.15,0.12,1.18,1.96,0.47,1991,5
11,-7.41,0.87,-0.69,0.68,0.84,0.42,1991,6
12,5.3,-3.22,-0.35,2.71,-0.49,0.49,1991,7
13,1.42,-0.96,-0.08,2.77,0.21,0.46,1991,8
14,3.02,1.78,-0.05,2.7,-0.53,0.46,1991,9
15,-2.62,-0.73,-1.3,1.94,0.21,0.42,1991,10
16,-2.27,0.52,-1.81,0.75,-0.44,0.39,1991,11
17,6.3,-3.85,-2.1,1.19,-1.31,0.38,1991,12
18,-0.52,-0.76,1.29,0.3,0.45,0.34,1992,1
19,-0.44,-0.23,0.18,1.25,-0.16,0.28,1992,2
20,-3.74,0.37,0.29,0.57,0.5,0.34,1992,3
21,5.02,-1.35,-0.07,2.61,1.9,0.32,1992,4
22,5.09,0.11,1.4,1.01,0.83,0.28,1992,5
23,-1.17,0.61,-0.85,-0.09,0.27,0.32,1992,6
24,-4.1,-1.21,-1.37,2.82,-0.46,0.31,1992,7
25,-0.8,-1.3,-0.51,1.26,-1.5,0.26,1992,8
26,-2.99,-3.63,-1.82,1.44,0.87,0.26,1992,9
27,-7.71,-2.42,1.2,-2.98,-1.16,0.23,1992,10
28,-0.65,-2.65,-0.13,0.57,1.17,0.23,1992,11
29,1.22,-0.24,-1.17,2.05,0.69,0.28,1992,12
30,0.63,3.34,2.95,-1.23,1.12,0.23,1993,1
31,1.11,-0.75,1.74,-0.74,0.31,0.22,1993,2
32,5.43,1.31,0.86,-0.1,2.67,0.25,1993,3
33,1.92,3.59,1.93,-1.61,1.05,0.24,1993,4
34,0.91,0.34,1.5,-0.44,0.96,0.22,1993,5
35,-3.23,-1.48,1.53,-0.93,1.94,0.25,1993,6
36,1.03,-0.77,3.0,-0.91,1.2,0.24,1993,7
37,8.61,0.87,2.31,0.54,-0.3,0.25,1993,8
38,-0.64,0.98,0.04,0.72,0.46,0.26,1993,9
39,2.46,-1.83,0.76,0.63,-0.26,0.22,1993,10
40,-2.31,0.74,-1.59,0.75,0.83,0.25,1993,11
41,7.16,-2.19,2.61,-0.47,0.54,0.23,1993,12
42,5.89,5.97,4.34,-2.53,2.73,0.25,1994,1
43,-3.46,4.19,1.01,0.44,1.31,0.21,1994,2
44,-2.8,1.48,1.79,0.65,-0.23,0.27,1994,3
45,3.79,-0.51,1.48,-0.9,0.74,0.27,1994,4
46,-4.0,1.86,0.53,-0.53,0.58,0.32,1994,5
47,-1.16,-0.28,-1.0,0.51,0.31,0.31,1994,6
48,4.66,-2.96,1.06,1.06,0.55,0.28,1994,7
49,1.9,-0.68,-2.62,3.04,-0.58,0.37,1994,8
50,-3.58,2.71,0.31,-0.15,-0.13,0.37,1994,9
51,3.59,-2.94,-0.33,1.47,-0.18,0.38,1994,10
52,-4.54,-0.41,0.45,-1.17,-0.42,0.37,1994,11
53,0.02,0.3,-0.58,0.57,-0.35,0.44,1994,12
54,-1.55,1.62,0.96,0.29,0.27,0.42,1995,1
55,1.97,-0.62,-0.76,0.82,-0.78,0.4,1995,2
56,3.45,-1.62,-2.47,2.76,-0.23,0.46,1995,3
57,2.56,-1.64,0.4,-0.01,-1.08,0.45,1995,4
58,1.76,-0.21,0.46,0.16,-0.97,0.54,1995,5
59,1.0,0.14,-0.63,0.78,-0.94,0.47,1995,6
60,3.99,-1.54,-1.03,1.81,-1.75,0.45,1995,7
61,-4.05,1.14,-2.29,2.12,-0.14,0.47,1995,8
62,2.37,-0.55,-1.93,0.89,-0.92,0.43,1995,9
63,-0.71,-0.95,-0.29,-0.16,-0.46,0.47,1995,10
64,-0.32,-3.3,0.78,-0.05,0.78,0.42,1995,11
65,1.84,-1.19,1.03,-1.78,-0.54,0.49,1995,12
66,0.44,0.06,0.12,1.75,-0.03,0.43,1996,1
67,1.88,1.65,0.21,2.56,-0.64,0.39,1996,2
68,0.89,0.42,0.51,0.77,0.56,0.39,1996,3
69,0.62,0.56,0.37,0.19,-0.04,0.46,1996,4
70,1.5,1.78,-0.28,1.97,-0.67,0.42,1996,5
71,0.22,-0.51,0.33,0.66,0.63,0.4,1996,6
72,-1.79,-0.13,0.97,-0.28,0.06,0.45,1996,7
73,2.26,-0.85,-1.49,1.83,-1.32,0.41,1996,8
74,1.17,-2.61,0.49,1.26,-0.19,0.44,1996,9
75,1.55,0.98,-1.3,1.49,-1.22,0.42,1996,10
76,4.08,-2.53,1.01,0.26,-0.19,0.41,1996,11
