,Mkt-RF,SMB,HML,RF,Year,Month,Day
21622,-1.46,-0.08,-0.13,0.01,2008,1,2
21623,-0.14,-1.02,-0.41,0.01,2008,1,3
21624,-2.56,-0.48,0.05,0.01,2008,1,4
21625,0.16,0.13,0.18,0.01,2008,1,7
21626,-1.81,-0.43,-0.94,0.01,2008,1,8
21627,1.1,-0.33,-0.66,0.01,2008,1,9
21628,0.89,-0.12,0.53,0.01,2008,1,10
21629,-1.42,-0.76,0.28,0.01,2008,1,11
21630,1.02,-0.06,-0.16,0.01,2008,1,14
21631,-2.39,0.41,-0.08,0.01,2008,1,15
21632,-0.51,0.91,1.09,0.01,2008,1,16
21633,-2.8,0.36,-0.06,0.01,2008,1,17
21634,-0.56,-0.26,-0.81,0.01,2008,1,18
21635,-0.98,0.27,1.36,0.01,2008,1,22
21636,2.04,0.63,1.81,0.01,2008,1,23
21637,1.02,-0.97,-0.47,0.01,2008,1,24
21638,-1.39,0.85,0.16,0.01,2008,1,25
21639,1.71,0.03,1.01,0.01,2008,1,28
21640,0.69,-0.54,1.09,0.01,2008,1,29
21641,-0.59,-0.43,-0.05,0.01,2008,1,30
21642,1.66,0.83,0.49,0.01,2008,1,31
21643,1.48,0.75,0.06,0.007,2008,2,1
21644,-0.99,0.16,-0.22,0.007,2008,2,4
21645,-3.01,0.42,0.06,0.007,2008,2,5
21646,-0.85,-0.39,0.48,0.007,2008,2,6
21647,0.82,0.35,0.18,0.007,2008,2,7
21648,-0.3,-0.11,-0.36,0.007,2008,2,8
21649,0.58,-0.19,-0.59,0.007,2008,2,11
21650,0.61,-0.13,0.01,0.007,2008,2,12
21651,1.46,0.71,-0.04,0.007,2008,2,13
21652,-1.35,-0.78,0.11,0.007,2008,2,14
21653,-0.02,-0.91,0.48,0.007,2008,2,15
21654,-0.06,0.2,-0.31,0.007,2008,2,19
21655,0.83,0.22,0.05,0.007,2008,2,20
21656,-1.28,-0.38,-0.21,0.007,2008,2,21
21657,0.61,-0.87,0.57,0.007,2008,2,22
21658,1.46,0.53,-0.18,0.007,2008,2,25
21659,0.72,0.37,-0.03,0.007,2008,2,26
21660,-0.11,0.0,-0.23,0.007,2008,2,27
21661,-0.93,-0.4,-0.55,0.007,2008,2,28
21662,-2.64,0.09,-0.17,0.007,2008,2,29
21663,-0.04,-0.26,-0.4,0.009,2008,3,3
21664,-0.36,0.0,0.1,0.009,2008,3,4
21665,0.56,-0.22,-0.38,0.009,2008,3,5
21666,-2.26,-0.46,-0.23,0.009,2008,3,6
21667,-0.88,0.21,0.68,0.009,2008,3,7
21668,-1.72,-0.63,0.6,0.009,2008,3,10
21669,3.57,0.24,0.33,0.009,2008,3,11
21670,-0.77,0.16,-0.73,0.009,2008,3,12
21671,0.65,1.32,-0.2,0.009,2008,3,13
21672,-2.07,-0.21,-0.35,0.009,2008,3,14
21673,-1.21,-0.85,0.55,0.009,2008,3,17
21674,4.09,0.04,-0.17,0.009,2008,3,18
