,Mkt-RF,SMB,HML,RF,Year,Month,Day
17337,-0.95,0.64,0.82,0.023,1991,1,2
17338,-1.25,0.28,1.17,0.023,1991,1,3
17339,-0.24,0.12,0.42,0.023,1991,1,4
17340,-1.72,0.32,0.23,0.023,1991,1,7
17341,-0.29,-0.36,-0.01,0.023,1991,1,8
17342,-0.95,0.5,0.06,0.023,1991,1,9
17343,0.94,-0.45,-0.52,0.023,1991,1,10
17344,0.1,-0.07,-0.12,0.023,1991,1,11
17345,-1.01,-0.72,0.17,0.023,1991,1,14
17346,0.32,-0.41,-0.38,0.023,1991,1,15
17347,1.0,0.11,-0.93,0.023,1991,1,16
17348,3.41,-0.98,-0.75,0.023,1991,1,17
17349,0.93,-1.2,0.05,0.023,1991,1,18
17350,-0.08,0.46,-0.23,0.023,1991,1,21
17351,-0.65,1.09,0.32,0.023,1991,1,22
17352,0.59,0.52,-0.21,0.023,1991,1,23
17353,1.45,0.33,-0.44,0.023,1991,1,24
17354,0.4,0.79,-0.23,0.023,1991,1,25
17355,0.14,0.76,-0.09,0.023,1991,1,28
17356,0.1,0.74,-0.07,0.023,1991,1,29
17357,1.52,0.38,-0.42,0.023,1991,1,30
17358,0.95,0.69,-0.41,0.023,1991,1,31
17359,-0.03,1.1,0.32,0.025,1991,2,1
17360,1.59,0.53,0.19,0.025,1991,2,4
17361,1.05,0.42,-0.39,0.025,1991,2,5
17362,1.77,-0.47,-0.69,0.025,1991,2,6
17363,-0.44,-0.43,0.61,0.025,1991,2,7
17364,0.63,-0.51,-0.03,0.025,1991,2,8
17365,2.37,-0.6,-0.04,0.025,1991,2,11
17366,-0.59,0.79,0.15,0.025,1991,2,12
17367,0.89,0.13,-0.12,0.025,1991,2,13
17368,-1.2,0.87,0.17,0.025,1991,2,14
17369,1.2,-0.18,-0.18,0.025,1991,2,15
17370,0.13,-0.04,-0.53,0.025,1991,2,19
17371,-1.06,0.3,0.17,0.025,1991,2,20
17372,-0.03,0.56,-0.09,0.025,1991,2,21
17373,0.23,0.33,-0.64,0.025,1991,2,22
17374,0.4,0.31,-0.43,0.025,1991,2,25
17375,-1.08,0.22,0.29,0.025,1991,2,26
17376,1.17,-0.53,-0.21,0.025,1991,2,27
17377,0.02,0.81,0.91,0.025,1991,2,28
17378,0.86,-0.14,-0.16,0.022,1991,3,1
17379,0.03,1.4,-0.04,0.022,1991,3,4
17380,1.91,0.14,-0.85,0.022,1991,3,5
17381,-0.14,0.35,0.09,0.022,1991,3,6
17382,0.0,0.29,-0.36,0.022,1991,3,7
17383,-0.23,0.52,-0.14,0.022,1991,3,8
17384,-0.59,-0.35,0.42,0.022,1991,3,11
17385,-0.87,-0.22,1.04,0.022,1991,3,12
17386,1.1,-0.47,-0.44,0.022,1991,3,13
17387,-0.16,0.41,-0.03,0.022,1991,3,14
17388,-0.19,-0.52,-0.15,0.022,1991,3,15
17389,-0.27,0.18,-0.04,0.022,1991,3,18
17390,-1.29,0.5,0.13,0.022,1991,3,19
17391,0.36,0.58,-0.49,0.022,1991,3,20
17392,-0.26,0.53,0.08,0.022,1991,3,21
17393,0.16,-0.25,0.22,0.022,1991,3,22
17394,0.67,-0.15,0.17,0.022,1991,3,25
17395,1.67,-0.56,-0.34,0.022,1991,3,26
17396,-0.01,0.77,-0.44,0.022,1991,3,27
17397,-0.09,0.72,-0.05,0.022,1991,3,28
17398,-0.85,0.63,-0.16,0.024,1991,4,1
17399,1.98,-0.65,-0.71,0.024,1991,4,2
17400,0.09,0.75,-0.06,0.024,1991,4,3
17401,0.29,0.12,-0.23,0.024,1991,4,4
17402,-0.97,0.76,0.29,0.024,1991,4,5
17403,0.59,-0.58,-0.07,0.024,1991,4,8
17404,-1.08,0.79,0.27,0.024,1991,4,9
17405,-0.2,-0.01,0.25,0.024,1991,4,10
17406,1.17,-0.24,0.02,0.024,1991,4,11
17407,0.6,-0.02,-0.2,0.024,1991,4,12
17408,0.17,-0.22,0.12,0.024,1991,4,15
17409,1.44,-0.6,-0.37,0.024,1991,4,16
17410,0.78,-0.01,0.0,0.024,1991,4,17
17411,-0.51,-0.1,0.76,0.024,1991,4,18
17412,-1.04,0.44,0.67,0.024,1991,4,19
17413,-0.98,-0.36,-0.19,0.024,1991,4,22
17414,0.13,-0.05,0.18,0.024,1991,4,23
17415,0.27,-0.02,0.08,0.024,1991,4,24
17416,-0.79,0.73,-0.15,0.024,1991,4,25
17417,-0.14,-0.21,0.19,0.024,1991,4,26
17418,-1.31,0.39,0.35,0.024,1991,4,29
17419,0.18,-1.12,0.43,0.024,1991,4,30
17420,1.21,-0.55,0.06,0.021,1991,5,1
17421,0.13,0.56,-0.36,0.021,1991,5,2
17422,0.09,0.14,-0.12,0.021,1991,5,3
17423,-0.18,0.04,-0.06,0.021,1991,5,6
17424,-0.54,0.72,-0.04,0.021,1991,5,7
17425,0.21,0.0,0.05,0.021,1991,5,8
17426,1.16,-0.42,-0.52,0.021,1991,5,9
17427,-1.66,0.85,0.26,0.021,1991,5,10
17428,0.17,-0.23,-0.2,0.021,1991,5,13
17429,-1.24,0.38,0.1,0.021,1991,5,14
17430,-1.05,-0.76,0.88,0.021,1991,5,15
17431,0.94,-0.34,-0.23,0.021,1991,5,16
17432,-0.03,-0.14,0.04,0.021,1991,5,17
17433,-0.04,-0.18,-0.07,0.021,1991,5,20
17434,0.74,-0.12,-0.36,0.021,1991,5,21
17435,0.25,-0.13,-0.05,0.021,1991,5,22
17436,-0.14,0.46,-0.17,0.021,1991,5,23
17437,0.63,-0.29,0.04,0.021,1991,5,24
17438,1.04,-0.63,-0.21,0.021,1991,5,28
17439,0.26,0.15,0.43,0.021,1991,5,29
17440,1.01,0.0,-0.3,0.021,1991,5,30
17441,0.69,0.06,0.27,0.021,1991,5,31
17442,-0.29,0.45,0.43,0.021,1991,6,3
17443,-0.05,0.13,-0.1,0.021,1991,6,4
17444,-0.56,0.72,0.38,0.021,1991,6,5
17445,-0.38,0.22,0.41,0.021,1991,6,6
17446,-0.95,0.36,0.09,0.021,1991,6,7
17447,-0.26,-0.04,0.04,0.021,1991,6,10
17448,0.44,-0.55,0.0,0.021,1991,6,11
17449,-1.11,0.01,0.06,0.021,1991,6,12
17450,0.21,-0.11,-0.03,0.021,1991,6,13
17451,1.06,-0.59,-0.26,0.021,1991,6,14
17452,-0.41,0.24,0.18,0.021,1991,6,17
17453,-0.4,0.13,0.14,0.021,1991,6,18
17454,-0.97,0.07,0.02,0.021,1991,6,19
17455,0.01,-0.13,-0.1,0.021,1991,6,20
17456,0.43,-0.51,0.06,0.021,1991,6,21
17457,-1.73,0.08,0.31,0.021,1991,6,24
17458,-0.22,-0.34,0.05,0.021,1991,6,25
17459,0.11,-0.47,-0.05,0.021,1991,6,26
17460,0.7,-0.38,-0.4,0.021,1991,6,27
17461,-0.64,0.81,-0.04,0.021,1991,6,28
17462,1.62,-1.13,-0.39,0.022,1991,7,1
17463,-0.12,-0.05,-0.05,0.022,1991,7,2
17464,-0.98,0.27,-0.12,0.022,1991,7,3
17465,0.17,-0.16,-0.12,0.022,1991,7,5
17466,0.82,-0.62,-0.21,0.022,1991,7,8
17467,-0.13,0.71,-0.11,0.022,1991,7,9
17468,0.01,0.6,-0.18,0.022,1991,7,10
17469,0.3,0.02,-0.21,0.022,1991,7,11
17470,0.75,-0.32,-0.02,0.022,1991,7,12
17471,0.6,-0.06,0.24,0.022,1991,7,15
17472,-0.21,0.13,0.48,0.022,1991,7,16
17473,-0.05,0.16,-0.04,0.022,1991,7,17
17474,0.9,-0.23,0.03,0.022,1991,7,18
17475,-0.24,0.5,0.09,0.022,1991,7,19
17476,-0.37,0.18,0.12,0.022,1991,7,22
17477,-0.91,0.18,0.25,0.022,1991,7,23
17478,-0.31,-0.2,0.14,0.022,1991,7,24
17479,0.55,-0.51,0.04,0.022,1991,7,25
17480,0.06,0.01,-0.04,0.022,1991,7,26
17481,0.47,-0.48,-0.34,0.022,1991,7,29
17482,0.86,-0.28,-0.45,0.022,1991,7,30
17483,0.39,0.35,-0.42,0.022,1991,7,31
17484,-0.12,0.24,-0.17,0.021,1991,8,1
17485,0.09,0.11,-0.06,0.021,1991,8,2
17486,-0.53,0.19,0.18,0.021,1991,8,5
17487,1.22,-0.94,0.03,0.021,1991,8,6
17488,0.09,0.1,-0.07,0.021,1991,8,7
17489,-0.16,0.27,-0.02,0.021,1991,8,8
17490,-0.43,0.63,-0.14,0.021,1991,8,9
17491,0.2,-0.34,0.6,0.021,1991,8,12
17492,0.42,-0.12,0.67,0.021,1991,8,13
17493,0.21,0.25,-0.15,0.021,1991,8,14
17494,-0.16,0.24,-0.42,0.021,1991,8,15
17495,-0.85,0.52,-0.05,0.021,1991,8,16
17496,-2.38,-0.5,-0.24,0.021,1991,8,19
17497,0.72,0.2,-0.1,0.021,1991,8,20
17498,2.76,-0.4,-0.33,0.021,1991,8,21
17499,0.2,0.37,-0.09,0.021,1991,8,22
17500,0.62,-0.22,0.27,0.021,1991,8,23
17501,-0.06,0.27,0.0,0.021,1991,8,26
17502,-0.12,0.28,-0.44,0.021,1991,8,27
17503,0.85,-0.25,0.03,0.021,1991,8,28
17504,-0.02,0.18,-0.06,0.021,1991,8,29
17505,-0.15,0.45,-0.16,0.021,1991,8,30
17506,-0.8,0.12,0.12,0.023,1991,9,3
17507,-0.57,0.17,-0.04,0.023,1991,9,4
17508,-0.27,0.27,-0.01,0.023,1991,9,5
17509,-0.03,0.01,0.11,0.023,1991,9,6
17510,-0.13,0.16,-0.09,0.023,1991,9,9
17511,-1.04,-0.09,0.1,0.023,1991,9,10
17512,0.18,0.17,-0.19,0.023,1991,9,11
17513,0.65,0.03,-0.54,0.023,1991,9,12
