,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,Day
126,0.6,0.65,0.57,-0.4,0.17,0.013,1964,1,2
127,0.17,0.22,0.36,-0.31,0.22,0.013,1964,1,3
128,0.23,0.08,0.02,-0.23,0.35,0.013,1964,1,6
129,0.04,0.19,0.73,-0.41,0.8,0.013,1964,1,7
130,0.34,0.06,-0.14,0.24,0.05,0.013,1964,1,8
131,0.3,-0.1,-0.35,0.45,-0.76,0.013,1964,1,9
132,-0.04,0.0,-0.11,0.15,0.04,0.013,1964,1,10
133,-0.1,0.11,0.45,-0.26,0.43,0.013,1964,1,13
134,0.15,-0.23,0.66,-0.17,0.57,0.013,1964,1,14
135,0.24,-0.24,-0.11,0.0,-0.31,0.013,1964,1,15
136,-0.1,0.21,-0.33,-0.19,0.03,0.013,1964,1,16
137,-0.02,0.28,-0.04,0.16,0.08,0.013,1964,1,17
138,-0.21,0.14,-0.54,0.42,-0.32,0.013,1964,1,20
139,0.26,-0.43,0.05,0.11,0.12,0.013,1964,1,21
140,0.48,-0.23,0.43,-0.29,0.02,0.013,1964,1,22
141,0.09,-0.05,0.16,0.41,0.03,0.013,1964,1,23
142,0.04,0.32,0.19,-0.1,-0.18,0.013,1964,1,24
143,-0.11,-0.44,0.05,-0.34,0.23,0.013,1964,1,27
144,-0.01,-0.23,0.15,-0.13,0.04,0.013,1964,1,28
145,-0.58,0.0,-0.2,-0.13,-0.07,0.013,1964,1,29
146,0.04,0.09,-0.31,0.84,-0.09,0.013,1964,1,30
147,0.38,-0.33,-0.17,0.35,-0.28,0.013,1964,1,31
148,0.0,0.02,0.05,-0.3,0.1,0.014,1964,2,3
149,-0.13,-0.28,-0.23,-0.11,0.28,0.014,1964,2,4
150,-0.08,0.07,0.28,-0.01,0.37,0.014,1964,2,5
151,0.24,0.06,-0.23,0.04,0.06,0.014,1964,2,6
152,0.37,-0.06,0.14,0.08,0.36,0.014,1964,2,7
153,-0.13,0.17,-0.2,0.13,-0.16,0.014,1964,2,10
154,0.33,-0.03,-0.14,0.21,0.38,0.014,1964,2,11
155,0.3,0.03,0.19,-0.04,0.03,0.014,1964,2,12
156,0.08,-0.01,-0.07,0.13,-0.29,0.014,1964,2,13
157,-0.04,0.07,0.2,-0.2,-0.06,0.014,1964,2,14
158,0.03,0.18,0.27,0.09,0.17,0.014,1964,2,17
159,0.01,-0.22,0.54,0.0,0.02,0.014,1964,2,18
160,0.11,-0.01,0.07,0.24,-0.22,0.014,1964,2,19
161,0.09,0.04,0.73,-0.37,0.18,0.014,1964,2,20
162,0.1,-0.03,0.43,-0.06,-0.02,0.014,1964,2,24
163,0.04,-0.11,0.17,0.09,-0.22,0.014,1964,2,25
164,0.28,0.18,0.22,0.12,0.02,0.014,1964,2,26
165,-0.27,0.15,-0.07,-0.04,0.15,0.014,1964,2,27
166,0.21,0.05,0.42,-0.1,-0.25,0.014,1964,2,28
167,0.22,0.0,0.34,-0.2,0.14,0.015,1964,3,2
168,0.26,-0.35,-0.27,0.09,0.32,0.015,1964,3,3
169,-0.2,0.02,-0.08,-0.45,0.08,0.015,1964,3,4
170,0.0,0.15,0.25,0.0,-0.1,0.015,1964,3,5
171,0.32,0.36,0.01,-0.02,0.08,0.015,1964,3,6
172,0.01,0.03,0.45,-0.06,0.05,0.015,1964,3,9
173,0.28,-0.37,0.24,0.25,0.16,0.015,1964,3,10
174,0.4,-0.29,0.21,-0.11,0.35,0.015,1964,3,11
175,0.18,-0.04,0.15,-0.09,0.0,0.015,1964,3,12
176,0.09,0.13,0.09,-0.24,0.23,0.015,1964,3,13
177,0.03,0.04,-0.23,-0.03,-0.23,0.015,1964,3,16
178,0.19,0.01,0.26,-0.05,-0.02,0.015,1964,3,17
179,0.1,0.02,0.51,-0.4,0.36,0.015,1964,3,18
180,-0.09,0.1,0.02,0.11,-0.03,0.015,1964,3,19
181,-0.42,0.28,0.1,-0.21,0.29,0.015,1964,3,20
182,0.01,0.29,-0.06,0.09,0.08,0.015,1964,3,23
183,-0.18,0.12,0.31,-0.11,0.33,0.015,1964,3,24
184,0.24,0.29,0.6,-0.32,0.2,0.015,1964,3,25
185,0.26,0.18,0.69,-0.24,0.38,0.015,1964,3,26
186,-0.1,0.04,0.06,-0.11,0.41,0.015,1964,3,30
187,-0.19,0.21,-0.3,0.01,-0.02,0.015,1964,3,31
188,0.34,0.25,0.67,-0.1,0.12,0.013,1964,4,1
189,0.57,-0.01,0.28,0.22,0.23,0.013,1964,4,2
190,0.22,-0.06,-0.41,0.14,-0.06,0.013,1964,4,3
191,0.07,0.14,0.24,-0.4,0.01,0.013,1964,4,6
192,-0.34,0.2,-0.46,-0.13,-0.36,0.013,1964,4,7
193,0.01,0.39,0.18,0.02,0.07,0.013,1964,4,8
194,0.0,0.13,-0.16,0.13,0.05,0.013,1964,4,9
