,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,Day
11202,-1.46,-0.1,-0.13,0.22,-0.34,0.01,2008,1,2
11203,-0.14,-1.08,-0.41,-0.14,-0.34,0.01,2008,1,3
11204,-2.56,-0.5,0.05,0.05,0.12,0.01,2008,1,4
11205,0.16,0.13,0.18,0.38,0.98,0.01,2008,1,7
11206,-1.81,-0.59,-0.94,0.24,-0.01,0.01,2008,1,8
11207,1.1,-0.39,-0.66,0.68,0.08,0.01,2008,1,9
11208,0.89,-0.05,0.53,-0.67,-0.06,0.01,2008,1,10
11209,-1.42,-0.76,0.28,-0.11,-0.04,0.01,2008,1,11
11210,1.02,-0.03,-0.16,0.29,-0.18,0.01,2008,1,14
11211,-2.39,0.32,-0.08,-0.09,0.5,0.01,2008,1,15
11212,-0.51,0.92,1.09,-0.57,0.43,0.01,2008,1,16
11213,-2.8,0.22,-0.06,-0.5,0.26,0.01,2008,1,17
11214,-0.56,-0.4,-0.81,0.63,-0.44,0.01,2008,1,18
11215,-0.98,0.53,1.36,0.29,-0.21,0.01,2008,1,22
11216,2.04,0.98,1.81,0.87,1.13,0.01,2008,1,23
11217,1.02,-1.02,-0.47,0.22,-0.14,0.01,2008,1,24
11218,-1.39,0.89,0.16,0.01,-0.06,0.01,2008,1,25
11219,1.71,0.21,1.01,0.16,0.32,0.01,2008,1,28
11220,0.69,-0.32,1.09,-0.15,0.04,0.01,2008,1,29
11221,-0.59,-0.44,-0.05,0.22,0.11,0.01,2008,1,30
11222,1.66,0.86,0.49,0.36,0.08,0.01,2008,1,31
11223,1.48,0.74,0.06,-0.69,-0.44,0.007,2008,2,1
11224,-0.99,0.04,-0.22,-0.41,-0.1,0.007,2008,2,4
11225,-3.01,0.33,0.06,0.03,0.25,0.007,2008,2,5
11226,-0.85,-0.41,0.48,-0.27,0.35,0.007,2008,2,6
11227,0.82,0.42,0.18,0.41,-0.32,0.007,2008,2,7
11228,-0.3,-0.17,-0.36,0.03,-0.23,0.007,2008,2,8
11229,0.58,-0.24,-0.59,0.46,-0.24,0.007,2008,2,11
11230,0.61,-0.1,0.01,-0.11,0.38,0.007,2008,2,12
11231,1.46,0.72,-0.04,-0.38,-0.37,0.007,2008,2,13
